---------------------------------------------------
  Seconds  	 Bits to EIO (12) 	 CIO (13) 	 FIO (15)
---------------------------------------------------
 0.010000  	    ba	8	2  
 0.348000  	    10	0	0  
 6442.036000  	    8a	b	2  
 6442.644000  	    8a	a	2  
 6443.179000  	    0	0	0  
 9443.677000  	    7a	8	2  
 9444.301000  	    50	0	0  
 10446.030000  	    b9	8	2  
 10446.519000  	    10	0	0  
 12446.976000  	    ba	4	2  
 12447.506000  	    0	0	0  
 12647.929000  	    7a	8	2  
 12648.426000  	    50	0	0  
 13649.913000  	    ba	8	2  
 13650.409000  	    10	0	0  
 13700.903000  	    7a	8	2  
 13701.441000  	    50	0	0  
 14702.866000  	    8a	b	2  
 14703.341000  	    8a	a	2  
 14703.809000  	    0	0	0  
 17704.240000  	    7a	8	2  
 17704.815000  	    50	0	0  
 18706.358000  	    b9	8	2  
 18706.874000  	    10	0	0  
 19425.380000  	    ba	8	2  
 19425.810000  	    10	0	0  
 51173.246000  	    8a	b	2  
 51173.755000  	    8a	a	2  
 51174.238000  	    0	0	0  
 54174.766000  	    7a	8	2  
 54175.323000  	    50	0	0  
 55176.900000  	    b9	8	2  
 55177.386000  	    10	0	0  
 57177.803000  	    ba	4	2  
 57178.284000  	    0	0	0  
 57378.694000  	    7a	8	2  
 57379.182000  	    50	0	0  
 58380.579000  	    ba	8	2  
 58381.049000  	    10	0	0  
 58431.617000  	    7a	8	2  
 58432.156000  	    50	0	0  
 59433.689000  	    8a	b	2  
 59434.222000  	    8a	a	2  
 59434.766000  	    0	0	0  
 62435.257000  	    7a	8	2  
 62435.765000  	    50	0	0  
 63437.229000  	    b9	8	2  
 63437.778000  	    10	0	0  
 65438.251000  	    ba	4	2  
 65438.842000  	    0	0	0  
 65639.363000  	    7a	8	2  
 65639.913000  	    50	0	0  
 66641.528000  	    ba	8	2  
 66642.002000  	    10	0	0  
 66692.509000  	    7a	8	2  
 66693.098000  	    50	0	0  
 67694.779000  	    8a	b	2  
 67695.231000  	    8a	a	2  
 67695.673000  	    0	0	0  
 70696.019000  	    7a	8	2  
 70696.469000  	    50	0	0  
 71698.050000  	    b9	8	2  
 71698.574000  	    10	0	0  
 73699.059000  	    ba	4	2  
 73699.627000  	    0	0	0  
 73900.096000  	    7a	8	2  
 73900.615000  	    50	0	0  
