---------------------------------------------------
  Seconds  	 Bits to EIO (12) 	 Bits to CIO (13) 
---------------------------------------------------
 0.031000  	    9a	a	2  
 0.418000  	    10	0	0  
 27269.264000  	    4a	a	2  
 27269.602000  	    0	0	0  
 28768.037000  	    9a	a	2  
 28768.384000  	    10	0	0  
 30098.067000  	    ba	9	2  
 30098.389000  	    30	0	0  
 31098.074000  	    10	0	0  
 31333.693000  	    ba	9	2  
 31333.993000  	    30	0	0  
 32333.660000  	    10	0	0  
 32932.632000  	    9a	6	2  
 32932.937000  	    10	0	0  
 35483.975000  	    90	0	2  
 35484.275000  	    10	0	0  
 42455.956000  	    4f	a	2  
 42456.396000  	    4a	a	2  
 42456.810000  	    0	0	0  
 45457.147000  	    ba	9	2  
 45457.527000  	    30	0	0  
 46457.847000  	    99	a	2  
 46458.228000  	    10	0	0  
 48458.544000  	    9a	6	2  
 48458.945000  	    0	0	0  
 48659.269000  	    ba	9	2  
 48659.645000  	    30	0	0  
 49659.991000  	    9a	a	2  
 49660.428000  	    10	0	0  
 49710.850000  	    ba	9	2  
 49711.264000  	    30	0	0  
 50711.663000  	    4f	a	2  
 50712.092000  	    4a	a	2  
 50712.523000  	    0	0	0  
 53712.876000  	    ba	9	2  
 53713.294000  	    30	0	0  
 54713.626000  	    99	a	2  
 54714.017000  	    10	0	0  
 56714.372000  	    9a	6	2  
 56714.805000  	    0	0	0  
 56915.122000  	    ba	9	2  
 56915.543000  	    30	0	0  
 57915.953000  	    9a	a	2  
 57916.402000  	    10	0	0  
 57966.847000  	    ba	9	2  
 57967.270000  	    30	0	0  
 58967.655000  	    4f	a	2  
 58968.048000  	    4a	a	2  
 58968.416000  	    0	0	0  
 61968.769000  	    ba	9	2  
 61969.182000  	    30	0	0  
 62969.607000  	    99	a	2  
 62970.048000  	    10	0	0  
 64970.406000  	    9a	6	2  
 64970.778000  	    0	0	0  
 65171.062000  	    ba	9	2  
 65171.436000  	    30	0	0  
 66171.740000  	    9a	a	2  
 66172.144000  	    10	0	0  
 66222.481000  	    ba	9	2  
 66222.884000  	    30	0	0  
 67223.274000  	    4f	a	2  
 67223.670000  	    4a	a	2  
 67224.058000  	    0	0	0  
 70224.443000  	    ba	9	2  
 70224.880000  	    30	0	0  
 71225.250000  	    99	a	2  
 71225.656000  	    10	0	0  
 73225.988000  	    9a	6	2  
 73226.388000  	    0	0	0  
 73426.697000  	    ba	9	2  
 73427.104000  	    30	0	0  
 74427.422000  	    9a	a	2  
 74427.812000  	    10	0	0  
 74478.235000  	    ba	9	2  
 74478.670000  	    30	0	0  
 75479.116000  	    4f	a	2  
 75479.528000  	    4a	a	2  
 75479.911000  	    0	0	0  
 78480.268000  	    ba	9	2  
 78480.686000  	    30	0	0  
 79481.029000  	    99	a	2  
 79481.436000  	    10	0	0  
 81481.758000  	    9a	6	2  
 81482.160000  	    0	0	0  
 81682.459000  	    ba	9	2  
 81682.842000  	    30	0	0  
 82683.156000  	    9a	a	2  
 82683.547000  	    10	0	0  
 82733.909000  	    ba	9	2  
 82734.322000  	    30	0	0  
 83734.682000  	    4f	a	2  
 83735.098000  	    4a	a	2  
 83735.510000  	    0	0	0  
