---------------------------------------------------
  Seconds  	 Bits to EIO (12) 	 CIO (13) 	 FIO (15)
---------------------------------------------------
 0.028000  	    ba	0	2  
 1.305000  	    10	0	0  
 16007.761000  	    8a	3	2  
 16008.988000  	    8a	2	2  
 16010.191000  	    0	0	0  
 19011.428000  	    7a	8	2  
 19012.656000  	    50	0	0  
 20014.247000  	    b9	0	2  
 20015.376000  	    10	0	0  
 22016.582000  	    7a	8	2  
 22017.787000  	    50	0	0  
 24020.017000  	    ba	0	2  
 24021.214000  	    10	0	0  
 24222.497000  	    7a	8	2  
 24223.723000  	    50	0	0  
 25225.967000  	    8a	3	2  
 25227.295000  	    8a	2	2  
 25228.567000  	    0	0	0  
 28229.842000  	    7a	8	2  
 28231.060000  	    50	0	0  
 29233.175000  	    b9	0	2  
 29234.353000  	    10	0	0  
 30975.265000  	    ba	0	2  
 30976.522000  	    10	0	0  
