---------------------------------------------------
  Seconds  	 Bits to EIO (12) 	 CIO (13) 	 FIO (15)
---------------------------------------------------
 0.050000  	    ba	8	2  
 0.478000  	    10	0	0  
 14221.761000  	    ba	9	2  
 14222.213000  	    10	0	0  
 60592.465000  	    8a	b	2  
 60593.041000  	    8a	a	2  
 60593.568000  	    0	0	0  
 63593.985000  	    7a	8	2  
 63594.432000  	    50	0	0  
 64595.684000  	    b9	8	2  
 64596.121000  	    10	0	0  
 66596.519000  	    ba	4	2  
 66597.033000  	    0	0	0  
 66797.479000  	    7a	8	2  
 66797.981000  	    50	0	0  
 67799.416000  	    ba	8	2  
 67799.878000  	    10	0	0  
 67850.350000  	    7a	8	2  
 67850.908000  	    50	0	0  
 68852.476000  	    8a	b	2  
 68852.997000  	    8a	a	2  
 68853.501000  	    0	0	0  
 71853.949000  	    7a	8	2  
 71854.469000  	    50	0	0  
 72855.872000  	    b9	8	2  
 72856.412000  	    10	0	0  
 74856.851000  	    ba	4	2  
 74857.394000  	    0	0	0  
 75057.863000  	    7a	8	2  
 75058.409000  	    50	0	0  
 76059.852000  	    ba	8	2  
 76060.487000  	    10	0	0  
 76111.128000  	    7a	8	2  
 76111.700000  	    50	0	0  
 77113.335000  	    8a	b	2  
 77113.830000  	    8a	a	2  
 77114.319000  	    0	0	0  
 80114.752000  	    7a	8	2  
 80115.288000  	    50	0	0  
 81116.899000  	    b9	8	2  
 81117.379000  	    10	0	0  
 83117.821000  	    ba	4	2  
 83118.307000  	    0	0	0  
 83318.725000  	    7a	8	2  
 83319.228000  	    50	0	0  
 84320.805000  	    ba	8	2  
 84321.278000  	    10	0	0  
 84371.792000  	    7a	8	2  
 84372.383000  	    50	0	0  
 85373.984000  	    8a	b	2  
 85374.471000  	    8a	a	2  
 85374.955000  	    0	0	0  
 88375.407000  	    7a	8	2  
 88375.923000  	    50	0	0  
 89376.832000  	    b9	8	2  
 89377.323000  	    10	0	0  
 91377.816000  	    ba	4	2  
 91378.326000  	    0	0	0  
 91578.792000  	    7a	8	2  
 91579.313000  	    50	0	0  
 92580.826000  	    ba	8	2  
 92581.350000  	    10	0	0  
