---------------------------------------------------
  Seconds  	 Bits to EIO (12) 	 CIO (13) 	 FIO (15)
---------------------------------------------------
 0.016000  	    9a	a	2  
 0.437000  	    10	0	0  
 228226.129000  	    9f	a	2  
 228226.527000  	    10	0	0  
 232929.660000  	    9f	a	2  
 232930.079000  	    10	0	0  
 244704.215000  	    4a	a	2  
 244704.633000  	    0	0	0  
 247566.833000  	    4a	a	2  
 247567.205000  	    0	0	0  
 249727.043000  	    4a	a	2  
 249727.492000  	    0	0	0  
 252030.845000  	    9a	a	2  
 252031.296000  	    10	0	0  
 253854.878000  	    9a	a	2  
 253855.284000  	    10	0	0  
 255502.338000  	    9a	a	2  
 255502.792000  	    10	0	0  
 261846.057000  	    4f	a	2  
 261846.533000  	    4a	a	2  
 261847.019000  	    0	0	0  
 264847.420000  	    ba	9	2  
 264847.909000  	    30	0	0  
 265848.346000  	    99	a	2  
 265848.894000  	    10	0	0  
 267849.376000  	    9a	6	2  
 267849.931000  	    0	0	0  
 268050.433000  	    ba	9	2  
 268050.994000  	    30	0	0  
 269051.437000  	    9a	a	2  
 269051.942000  	    10	0	0  
 269102.444000  	    ba	9	2  
 269102.966000  	    30	0	0  
 270103.476000  	    4f	a	2  
 270104.001000  	    4a	a	2  
 270104.505000  	    0	0	0  
 273104.964000  	    ba	9	2  
 273105.530000  	    30	0	0  
 274106.028000  	    99	a	2  
 274106.563000  	    10	0	0  
 276107.057000  	    9a	6	2  
 276107.616000  	    0	0	0  
 276308.135000  	    ba	9	2  
 276308.637000  	    30	0	0  
 277309.132000  	    9a	a	2  
 277309.715000  	    10	0	0  
 277360.257000  	    ba	9	2  
 277360.804000  	    30	0	0  
 278361.303000  	    4f	a	2  
 278361.914000  	    4a	a	2  
 278362.437000  	    0	0	0  
 281362.872000  	    ba	9	2  
 281363.350000  	    30	0	0  
 282363.791000  	    99	a	2  
 282364.354000  	    10	0	0  
 284364.838000  	    9a	6	2  
 284365.399000  	    0	0	0  
 284565.908000  	    ba	9	2  
 284566.446000  	    30	0	0  
 285566.886000  	    9a	a	2  
 285567.324000  	    10	0	0  
 285617.725000  	    ba	9	2  
 285618.238000  	    30	0	0  
 286618.719000  	    4f	a	2  
 286619.286000  	    4a	a	2  
 286619.810000  	    0	0	0  
 289620.281000  	    ba	9	2  
 289620.869000  	    30	0	0  
 290621.319000  	    99	a	2  
 290621.775000  	    10	0	0  
 292622.223000  	    9a	6	2  
 292622.790000  	    0	0	0  
 292823.287000  	    ba	9	2  
 292823.812000  	    30	0	0  
 293824.238000  	    9a	a	2  
 293824.743000  	    10	0	0  
 293875.263000  	    ba	9	2  
 293875.842000  	    30	0	0  
 294876.283000  	    4f	a	2  
 294876.794000  	    4a	a	2  
 294877.288000  	    0	0	0  
 297877.790000  	    ba	9	2  
 297878.359000  	    30	0	0  
 298878.897000  	    99	a	2  
 298879.431000  	    10	0	0  
 300879.911000  	    9a	6	2  
 300880.462000  	    0	0	0  
 301080.908000  	    ba	9	2  
 301081.422000  	    30	0	0  
 302081.894000  	    9a	a	2  
 302082.424000  	    10	0	0  
 302132.955000  	    ba	9	2  
 302133.457000  	    30	0	0  
 303133.917000  	    4f	a	2  
 303134.448000  	    4a	a	2  
 303134.977000  	    0	0	0  
 306135.475000  	    ba	9	2  
 306136.028000  	    30	0	0  
 307136.480000  	    99	a	2  
 307137.092000  	    10	0	0  
 309137.599000  	    9a	6	2  
 309138.134000  	    0	0	0  
 309338.587000  	    ba	9	2  
 309339.094000  	    30	0	0  
 310339.540000  	    9a	a	2  
 310340.121000  	    10	0	0  
 310390.671000  	    ba	9	2  
 310391.210000  	    30	0	0  
 311391.710000  	    4f	a	2  
 311392.263000  	    4a	a	2  
 311392.760000  	    0	0	0  
 314393.179000  	    ba	9	2  
 314393.705000  	    30	0	0  
 315394.158000  	    99	a	2  
 315394.642000  	    10	0	0  
 317395.097000  	    9a	6	2  
 317395.584000  	    0	0	0  
 317596.061000  	    ba	9	2  
 317596.618000  	    30	0	0  
 318597.051000  	    9a	a	2  
 318597.574000  	    10	0	0  
 318648.069000  	    ba	9	2  
 318648.605000  	    30	0	0  
 319649.043000  	    4f	a	2  
 319649.520000  	    4a	a	2  
 319649.958000  	    0	0	0  
 322650.357000  	    ba	9	2  
 322650.857000  	    30	0	0  
 323651.237000  	    99	a	2  
 323651.707000  	    10	0	0  
 325652.148000  	    9a	6	2  
 325652.678000  	    0	0	0  
 325853.147000  	    ba	9	2  
 325853.726000  	    30	0	0  
 326854.410000  	    9a	a	2  
 326854.984000  	    10	0	0  
 326905.524000  	    ba	9	2  
 326906.062000  	    30	0	0  
 327906.487000  	    4f	a	2  
 327907.050000  	    4a	a	2  
 327907.560000  	    0	0	0  
 329301.206000  	    9a	a	2  
 329301.678000  	    10	0	0  
