---------------------------------------------------
  Seconds  	 Bits to EIO (12) 	 CIO (13) 	 FIO (15)
 24097643.897000  	    10	0	0  
 24103645.283000  	    7a	8	2  
 24103646.608000  	    50	0	0  
 24104649.195000  	    ba	0	2  
 24104650.397000  	    10	0	0  
 24104701.681000  	    7a	8	2  
 24104702.968000  	    50	0	0  
 24105705.382000  	    8a	3	2  
 24105706.661000  	    8a	2	2  
 24105707.994000  	    0	0	0  
 24108709.372000  	    7a	8	2  
 24108710.632000  	    50	0	0  
 24109712.783000  	    b9	0	2  
 24109714.086000  	    10	0	0  
 24115715.467000  	    7a	8	2  
 24115716.728000  	    50	0	0  
 24116719.293000  	    ba	0	2  
 24116720.515000  	    10	0	0  
 24116771.923000  	    7a	8	2  
 24116773.246000  	    50	0	0  
 24117775.778000  	    8a	3	2  
 24117777.118000  	    8a	2	2  
 24117778.445000  	    0	0	0  
 24120779.854000  	    7a	8	2  
 24120781.121000  	    50	0	0  
 24121783.594000  	    b9	0	2  
 24121784.916000  	    10	0	0  
 24127786.335000  	    7a	8	2  
 24127787.568000  	    50	0	0  
 24128790.008000  	    ba	0	2  
 24128791.338000  	    10	0	0  
 24128842.769000  	    7a	8	2  
 24128844.159000  	    50	0	0  
 24129846.569000  	    8a	3	2  
 24129847.817000  	    8a	2	2  
 24129849.116000  	    0	0	0  
 24132850.501000  	    7a	8	2  
 24132851.716000  	    50	0	0  
 24133853.898000  	    b9	0	2  
 24133855.098000  	    10	0	0  
 24139856.342000  	    7a	8	2  
 24139857.546000  	    50	0	0  
 24140860.084000  	    ba	0	2  
 24140861.388000  	    10	0	0  
 24140912.877000  	    7a	8	2  
 24140914.319000  	    50	0	0  
 24141916.321000  	    8a	3	2  
 24141917.490000  	    8a	2	2  
 24141918.693000  	    0	0	0  
 24144919.990000  	    7a	8	2  
 24144921.310000  	    50	0	0  
 24145923.707000  	    b9	0	2  
 24145924.992000  	    10	0	0  
 24151926.400000  	    7a	8	2  
 24151927.745000  	    50	0	0  
 24152930.267000  	    ba	0	2  
 24152931.626000  	    10	0	0  
