---------------------------------------------------
  Seconds  	 Bits to EIO (12) 	 CIO (13) 	 FIO (15)
---------------------------------------------------
 0.028000  	    ba	8	2  
 0.483000  	    10	0	0  
 5717.635000  	    8a	b	2  
 5718.249000  	    8a	a	2  
 5718.784000  	    0	0	0  
 8719.303000  	    7a	8	2  
 8719.868000  	    50	0	0  
 9721.571000  	    b9	8	2  
 9722.062000  	    10	0	0  
 11722.523000  	    ba	4	2  
 11723.055000  	    0	0	0  
 11923.506000  	    7a	8	2  
 11924.023000  	    50	0	0  
 12925.580000  	    ba	8	2  
 12926.094000  	    10	0	0  
 12976.689000  	    7a	8	2  
 12977.318000  	    50	0	0  
 13979.090000  	    8a	b	2  
 13979.630000  	    8a	a	2  
 13980.191000  	    0	0	0  
 16980.599000  	    7a	8	2  
 16981.166000  	    50	0	0  
 17982.648000  	    b9	8	2  
 17983.164000  	    10	0	0  
 19983.688000  	    ba	4	2  
 19984.201000  	    0	0	0  
 20184.649000  	    7a	8	2  
 20185.162000  	    50	0	0  
 21186.748000  	    ba	8	2  
 21187.274000  	    10	0	0  
 21237.791000  	    7a	8	2  
 21238.359000  	    50	0	0  
 22239.964000  	    8a	b	2  
 22240.467000  	    8a	a	2  
 22240.990000  	    0	0	0  
 25241.472000  	    7a	8	2  
 25242.095000  	    50	0	0  
 26243.692000  	    b9	8	2  
 26244.220000  	    10	0	0  
 28244.679000  	    ba	4	2  
 28245.218000  	    0	0	0  
 28445.664000  	    7a	8	2  
 28446.171000  	    50	0	0  
 29447.775000  	    ba	8	2  
 29448.250000  	    10	0	0  
 29498.745000  	    7a	8	2  
 29499.262000  	    50	0	0  
 30500.837000  	    8a	b	2  
 30501.916000  	    8a	a	2  
 30502.344000  	    0	0	0  
 33502.746000  	    7a	8	2  
 33503.266000  	    50	0	0  
 34504.702000  	    b9	8	2  
 34505.252000  	    10	0	0  
 36505.711000  	    ba	4	2  
 36506.222000  	    0	0	0  
 36706.680000  	    7a	8	2  
 36707.216000  	    50	0	0  
 37708.745000  	    ba	8	2  
 37709.247000  	    10	0	0  
 37759.739000  	    7a	8	2  
 37760.257000  	    50	0	0  
 38761.810000  	    8a	b	2  
 38762.272000  	    8a	a	2  
 38762.738000  	    0	0	0  
 39001.668000  	    ba	8	2  
 39002.075000  	    10	0	0  
 133748.844000  	    8a	b	2  
 133749.274000  	    8a	a	2  
 133749.725000  	    0	0	0  
 136750.118000  	    7a	8	2  
 136750.737000  	    50	0	0  
 137752.219000  	    b9	8	2  
 137752.744000  	    10	0	0  
 139753.320000  	    ba	4	2  
 139753.824000  	    0	0	0  
 139954.264000  	    7a	8	2  
 139954.807000  	    50	0	0  
 140956.383000  	    ba	8	2  
 140956.860000  	    10	0	0  
 141007.381000  	    7a	8	2  
 141007.898000  	    50	0	0  
 142009.446000  	    8a	b	2  
 142009.919000  	    8a	a	2  
 142010.408000  	    0	0	0  
 145010.911000  	    7a	8	2  
 145011.447000  	    50	0	0  
 146013.020000  	    b9	8	2  
 146013.547000  	    10	0	0  
 148014.046000  	    ba	4	2  
 148014.612000  	    0	0	0  
 148215.099000  	    7a	8	2  
 148215.640000  	    50	0	0  
 149217.222000  	    ba	8	2  
 149217.731000  	    10	0	0  
 149268.771000  	    7a	8	2  
 149269.372000  	    50	0	0  
 150270.763000  	    8a	b	2  
 150271.273000  	    8a	a	2  
 150271.802000  	    0	0	0  
 153272.354000  	    7a	8	2  
 153272.904000  	    50	0	0  
 154274.523000  	    b9	8	2  
 154275.055000  	    10	0	0  
 156275.550000  	    ba	4	2  
 156276.053000  	    0	0	0  
 156476.455000  	    7a	8	2  
 156476.932000  	    50	0	0  
 157478.443000  	    ba	8	2  
