---------------------------------------------------
  Seconds  	 Bits to EIO (12) 	 Bits to CIO (13) 
---------------------------------------------------
 0.027000  	    a2	2	2  
 0.371000  	    10	0	0  
 5342.505000  	    a2	2	2  
 5342.789000  	    10	0	0  
 11762.132000  	    57	2	2  
 11762.543000  	    52	2	2  
 11762.944000  	    0	0	0  
 14763.285000  	    c2	1	2  
 14763.696000  	    30	0	0  
 15764.093000  	    a1	2	2  
 15764.517000  	    10	0	0  
 17764.838000  	    9a	6	2  
 17765.231000  	    0	0	0  
 17965.531000  	    c2	1	2  
 17965.969000  	    30	0	0  
 18966.378000  	    a2	2	2  
 18966.811000  	    10	0	0  
 19017.229000  	    c2	1	2  
 19017.663000  	    30	0	0  
 20018.099000  	    57	2	2  
 20018.533000  	    52	2	2  
 20018.952000  	    0	0	0  
 23019.337000  	    c2	1	2  
 23019.755000  	    30	0	0  
 24020.128000  	    a1	2	2  
 24020.562000  	    10	0	0  
 26020.937000  	    9a	6	2  
 26021.372000  	    0	0	0  
 26221.709000  	    c2	1	2  
 26222.103000  	    30	0	0  
 27222.458000  	    a2	2	2  
 27222.867000  	    10	0	0  
 27273.270000  	    c2	1	2  
 27273.709000  	    30	0	0  
 28274.044000  	    57	2	2  
 28274.411000  	    52	2	2  
 28274.786000  	    0	0	0  
 31275.108000  	    c2	1	2  
 31275.512000  	    30	0	0  
 32275.901000  	    a1	2	2  
 32276.328000  	    10	0	0  
 34276.670000  	    9a	6	2  
 34277.092000  	    0	0	0  
 34477.451000  	    c2	1	2  
 34477.857000  	    30	0	0  
 35478.247000  	    a2	2	2  
 35478.671000  	    10	0	0  
 35529.101000  	    c2	1	2  
 35529.525000  	    30	0	0  
 36529.929000  	    57	2	2  
 36530.376000  	    52	2	2  
 36530.794000  	    0	0	0  
 39531.155000  	    c2	1	2  
 39531.569000  	    30	0	0  
 40531.919000  	    a1	2	2  
 40532.327000  	    10	0	0  
 42532.666000  	    9a	6	2  
 42533.086000  	    0	0	0  
 42733.421000  	    c2	1	2  
 42733.812000  	    30	0	0  
 43734.151000  	    a2	2	2  
 43734.561000  	    10	0	0  
 43784.914000  	    c2	1	2  
 43785.337000  	    30	0	0  
 44785.771000  	    57	2	2  
 44786.184000  	    52	2	2  
 44786.564000  	    0	0	0  
 47787.007000  	    c2	1	2  
 47787.439000  	    30	0	0  
 48787.872000  	    a1	2	2  
 48788.318000  	    10	0	0  
 50788.672000  	    9a	6	2  
 50789.090000  	    0	0	0  
 50989.431000  	    c2	1	2  
 50989.825000  	    30	0	0  
 51990.167000  	    a2	2	2  
 51990.559000  	    10	0	0  
 52040.978000  	    c2	1	2  
 52041.412000  	    30	0	0  
 53041.784000  	    57	2	2  
 53042.208000  	    52	2	2  
 53042.621000  	    0	0	0  
 53159.048000  	    a2	2	2  
 53159.338000  	    10	0	0  
 83023.426000  	    57	2	2  
 83023.836000  	    52	2	2  
 83024.229000  	    0	0	0  
 86024.609000  	    c2	1	2  
 86025.012000  	    30	0	0  
 87025.338000  	    a1	2	2  
 87025.733000  	    10	0	0  
 89026.041000  	    9a	6	2  
 89026.427000  	    0	0	0  
 89226.742000  	    c2	1	2  
 89227.125000  	    30	0	0  
 90227.453000  	    57	2	2  
 90227.856000  	    52	2	2  
 90228.257000  	    0	0	0  
 93228.628000  	    c2	1	2  
 93229.100000  	    30	0	0  
 94229.525000  	    a1	2	2  
 94229.952000  	    10	0	0  
 96230.308000  	    9a	6	2  
 96230.715000  	    0	0	0  
 96431.028000  	    c2	1	2  
 96431.419000  	    30	0	0  
 97431.751000  	    57	2	2  
 97432.149000  	    52	2	2  
 97432.542000  	    0	0	0  
 100432.874000  	    c2	1	2  
 100433.271000  	    30	0	0  
 101433.568000  	    a1	2	2  
 101433.953000  	    10	0	0  
 103434.300000  	    9a	6	2  
 103434.730000  	    0	0	0  
 103635.067000  	    c2	1	2  
 103635.463000  	    30	0	0  
 104635.825000  	    57	2	2  
 104636.228000  	    52	2	2  
 104636.645000  	    0	0	0  
 107636.980000  	    c2	1	2  
 107637.382000  	    30	0	0  
 108637.756000  	    a1	2	2  
 108638.186000  	    10	0	0  
 110638.562000  	    9a	6	2  
 110639.001000  	    0	0	0  
 110839.393000  	    c2	1	2  
 110839.835000  	    30	0	0  
 111840.255000  	    57	2	2  
 111840.708000  	    52	2	2  
 111841.167000  	    0	0	0  
 114841.595000  	    c2	1	2  
 114842.024000  	    30	0	0  
 115842.387000  	    a1	2	2  
 115842.786000  	    10	0	0  
 117843.135000  	    9a	6	2  
 117843.586000  	    0	0	0  
 118044.013000  	    c2	1	2  
 118044.445000  	    30	0	0  
 119044.777000  	    a3	2	2  
 119045.154000  	    4e	2	2  
 119045.524000  	    0	0	0  
 122045.825000  	    c6	1	2  
 122046.226000  	    30	0	0  
 123046.571000  	    9d	2	2  
 123046.978000  	    10	0	0  
 125047.268000  	    96	6	2  
 125047.637000  	    0	0	0  
 125247.903000  	    c6	1	2  
 125248.265000  	    30	0	0  
 126248.553000  	    57	2	2  
 126248.927000  	    52	2	2  
 126249.297000  	    0	0	0  
 129249.648000  	    c2	1	2  
 129250.083000  	    30	0	0  
 130250.484000  	    a1	2	2  
 130250.887000  	    10	0	0  
 132251.254000  	    9a	6	2  
 132251.689000  	    0	0	0  
 132452.058000  	    c2	1	2  
 132452.459000  	    30	0	0  
 133452.848000  	    57	2	2  
 133453.276000  	    52	2	2  
 133453.691000  	    0	0	0  
 136454.011000  	    c2	1	2  
 136454.393000  	    30	0	0  
 137454.739000  	    a1	2	2  
 137455.145000  	    10	0	0  
 139455.516000  	    9a	6	2  
 139455.940000  	    0	0	0  
 139656.284000  	    c2	1	2  
 139656.681000  	    30	0	0  
 140657.062000  	    57	2	2  
 140657.490000  	    52	2	2  
 140657.906000  	    0	0	0  
 143658.222000  	    c2	1	2  
 143658.603000  	    30	0	0  
 144658.925000  	    a1	2	2  
 144659.375000  	    10	0	0  
 146659.795000  	    9a	6	2  
 146660.233000  	    0	0	0  
 146860.625000  	    c2	1	2  
 146861.040000  	    30	0	0  
 147861.462000  	    57	2	2  
 147861.895000  	    52	2	2  
 147862.317000  	    0	0	0  
 150862.725000  	    c2	1	2  
 150863.146000  	    30	0	0  
 151863.572000  	    a1	2	2  
 151864.004000  	    10	0	0  
 153864.403000  	    9a	6	2  
 153864.836000  	    0	0	0  
 154065.184000  	    c2	1	2  
 154065.576000  	    30	0	0  
 155065.968000  	    57	2	2  
 155066.415000  	    52	2	2  
 155066.796000  	    0	0	0  
 158067.118000  	    c2	1	2  
 158067.535000  	    30	0	0  
 159067.907000  	    a1	2	2  
 159068.341000  	    10	0	0  
 161068.654000  	    9a	6	2  
 161069.022000  	    0	0	0  
 161269.292000  	    c2	1	2  
 161269.654000  	    30	0	0  
 162270.046000  	    a3	2	2  
 162270.474000  	    4e	2	2  
 162270.884000  	    0	0	0  
 165271.248000  	    c6	1	2  
 165271.715000  	    30	0	0  
 166272.112000  	    9d	2	2  
 166272.531000  	    10	0	0  
 168272.850000  	    96	6	2  
 168273.247000  	    0	0	0  
 168473.548000  	    c6	1	2  
 168473.953000  	    30	0	0  
 169474.361000  	    57	2	2  
 169474.802000  	    52	2	2  
 169475.220000  	    0	0	0  
 172475.566000  	    c2	1	2  
 172475.963000  	    30	0	0  
 173476.296000  	    a1	2	2  
 173476.685000  	    10	0	0  
 175477.061000  	    9a	6	2  
 175477.498000  	    0	0	0  
 175677.834000  	    c2	1	2  
 175678.222000  	    30	0	0  
 176678.589000  	    57	2	2  
 176679.011000  	    52	2	2  
 176679.408000  	    0	0	0  
 179679.734000  	    c2	1	2  
 179680.120000  	    30	0	0  
 180680.524000  	    a1	2	2  
 180680.959000  	    10	0	0  
 182681.329000  	    9a	6	2  
 182681.725000  	    0	0	0  
 182882.050000  	    c2	1	2  
 182882.438000  	    30	0	0  
 183882.809000  	    57	2	2  
 183883.222000  	    52	2	2  
 183883.614000  	    0	0	0  
 186883.973000  	    c2	1	2  
 186884.387000  	    30	0	0  
 187319.314000  	    a2	2	2  
 187319.628000  	    10	0	0  
