---------------------------------------------------
  Seconds  	 Bits to EIO (12) 	 CIO (13) 	 FIO (15)
---------------------------------------------------
 0.033000  	    ba	8	2  
 0.492000  	    10	0	0  
 175009.217000  	    8a	b	2  
 175022.902000  	    8a	a	2  
 175036.445000  	    0	0	0  
 178036.936000  	    7a	8	2  
 178050.497000  	    50	0	0  
 179051.042000  	    b9	8	2  
 179064.600000  	    10	0	0  
 181065.126000  	    ba	4	2  
 181078.695000  	    0	0	0  
 181279.209000  	    7a	8	2  
 181292.666000  	    50	0	0  
 182293.071000  	    ba	8	2  
 182306.530000  	    10	0	0  
 182357.065000  	    7a	8	2  
 182370.615000  	    50	0	0  
 183371.127000  	    8a	b	2  
 183384.695000  	    8a	a	2  
 183398.252000  	    0	0	0  
 186398.801000  	    7a	8	2  
 186412.242000  	    50	0	0  
 187412.796000  	    b9	8	2  
 187426.389000  	    10	0	0  
 189426.932000  	    ba	4	2  
 189440.538000  	    0	0	0  
 189641.016000  	    7a	8	2  
 189654.498000  	    50	0	0  
 190655.005000  	    ba	8	2  
 190668.544000  	    10	0	0  
 190719.140000  	    7a	8	2  
 190732.766000  	    50	0	0  
 191733.283000  	    8a	b	2  
 191746.868000  	    8a	a	2  
 191760.375000  	    0	0	0  
 194760.795000  	    7a	8	2  
 194774.256000  	    50	0	0  
 195774.774000  	    b9	8	2  
 195788.268000  	    10	0	0  
 197788.707000  	    ba	4	2  
 197802.173000  	    0	0	0  
 198002.610000  	    7a	8	2  
 198016.082000  	    50	0	0  
 199016.564000  	    ba	8	2  
 199030.122000  	    10	0	0  
 199080.675000  	    7a	8	2  
 199094.201000  	    50	0	0  
 200094.730000  	    8a	b	2  
 200108.280000  	    8a	a	2  
 200121.814000  	    0	0	0  
 203122.345000  	    7a	8	2  
 203135.905000  	    50	0	0  
 204136.442000  	    b9	8	2  
 204150.034000  	    10	0	0  
 206150.589000  	    ba	4	2  
 206164.158000  	    0	0	0  
 206364.734000  	    7a	8	2  
 206378.306000  	    50	0	0  
