---------------------------------------------------
  Seconds  	 Bits to EIO (12) 	 Bits to CIO (13) 
---------------------------------------------------
 0.028000  	    9a	a	2  
 0.374000  	    10	0	0  
 8715.828000  	    4a	a	2  
 8716.138000  	    0	0	0  
 14050.485000  	    9a	a	2  
 14050.766000  	    10	0	0  
 16536.123000  	    ba	9	2  
 16536.420000  	    30	0	0  
 17535.973000  	    10	0	0  
 22704.839000  	    4f	a	2  
 22705.293000  	    4a	a	2  
 22705.722000  	    0	0	0  
 25706.077000  	    ba	9	2  
 25706.482000  	    30	0	0  
 26706.817000  	    99	a	2  
 26707.217000  	    10	0	0  
 28707.575000  	    9a	6	2  
 28708.013000  	    0	0	0  
 28908.352000  	    ba	9	2  
 28908.743000  	    30	0	0  
 29909.060000  	    9a	a	2  
 29909.451000  	    10	0	0  
 29959.814000  	    ba	9	2  
 29960.230000  	    30	0	0  
 30960.618000  	    4f	a	2  
 30961.091000  	    4a	a	2  
 30961.511000  	    0	0	0  
 33961.891000  	    ba	9	2  
 33962.312000  	    30	0	0  
 34962.714000  	    99	a	2  
 34963.108000  	    10	0	0  
 36963.421000  	    9a	6	2  
 36963.822000  	    0	0	0  
 37164.132000  	    ba	9	2  
 37164.527000  	    30	0	0  
 38164.852000  	    9a	a	2  
 38165.247000  	    10	0	0  
 38215.670000  	    ba	9	2  
 38216.092000  	    30	0	0  
 39216.431000  	    4f	a	2  
 39216.826000  	    4a	a	2  
 39217.214000  	    0	0	0  
 42217.529000  	    ba	9	2  
 42217.926000  	    30	0	0  
 43218.259000  	    99	a	2  
 43218.656000  	    10	0	0  
 45218.974000  	    9a	6	2  
 45219.371000  	    0	0	0  
 45419.672000  	    ba	9	2  
 45420.046000  	    30	0	0  
 46420.343000  	    9a	a	2  
 46420.723000  	    10	0	0  
 46471.105000  	    ba	9	2  
 46471.528000  	    30	0	0  
 47471.884000  	    4f	a	2  
 47472.277000  	    4a	a	2  
 47472.664000  	    0	0	0  
 50473.043000  	    ba	9	2  
 50473.434000  	    30	0	0  
 51473.735000  	    99	a	2  
 51474.107000  	    10	0	0  
 53474.442000  	    9a	6	2  
 53474.847000  	    0	0	0  
 53675.197000  	    ba	9	2  
 53675.598000  	    30	0	0  
 54675.995000  	    9a	a	2  
 54676.425000  	    10	0	0  
 54726.854000  	    ba	9	2  
 54727.296000  	    30	0	0  
 55727.667000  	    4f	a	2  
 55728.067000  	    4a	a	2  
 55728.432000  	    0	0	0  
 58728.779000  	    ba	9	2  
 58729.214000  	    30	0	0  
 59729.588000  	    99	a	2  
 59729.982000  	    10	0	0  
 61730.305000  	    9a	6	2  
 61730.688000  	    0	0	0  
 61930.992000  	    ba	9	2  
 61931.372000  	    30	0	0  
 62931.664000  	    9a	a	2  
 62932.042000  	    10	0	0  
 62982.424000  	    ba	9	2  
 62982.847000  	    30	0	0  
 63983.244000  	    4f	a	2  
 63983.675000  	    4a	a	2  
 63984.091000  	    0	0	0  
 66984.404000  	    ba	9	2  
 66984.772000  	    30	0	0  
 67985.057000  	    99	a	2  
 67985.429000  	    10	0	0  
 69985.765000  	    9a	6	2  
 69986.191000  	    0	0	0  
 70186.546000  	    ba	9	2  
 70186.971000  	    30	0	0  
 71187.317000  	    9a	a	2  
 71187.715000  	    10	0	0  
 71238.116000  	    ba	9	2  
 71238.555000  	    30	0	0  
 72238.957000  	    4f	a	2  
 72239.374000  	    4a	a	2  
 72239.773000  	    0	0	0  
 75240.156000  	    ba	9	2  
 75240.584000  	    30	0	0  
 76240.953000  	    99	a	2  
 76241.364000  	    10	0	0  
 78241.664000  	    9a	6	2  
 78242.036000  	    0	0	0  
 78442.307000  	    ba	9	2  
 78442.668000  	    30	0	0  
 79442.949000  	    9a	a	2  
 79443.320000  	    10	0	0  
 79493.682000  	    ba	9	2  
 79494.092000  	    30	0	0  
 80494.420000  	    4f	a	2  
 80494.818000  	    4a	a	2  
 80495.210000  	    0	0	0  
 83495.549000  	    ba	9	2  
 83495.936000  	    30	0	0  
 84496.284000  	    99	a	2  
 84496.679000  	    10	0	0  
 86497.046000  	    9a	6	2  
 86497.482000  	    0	0	0  
 86697.852000  	    ba	9	2  
 86698.253000  	    30	0	0  
 87698.639000  	    9a	a	2  
 87699.074000  	    10	0	0  
 87749.453000  	    ba	9	2  
 87749.873000  	    30	0	0  
 88750.288000  	    4f	a	2  
 88750.699000  	    4a	a	2  
 88751.077000  	    0	0	0  
 91751.423000  	    ba	9	2  
 91751.851000  	    30	0	0  
 92752.298000  	    99	a	2  
 92752.732000  	    10	0	0  
 94753.110000  	    9a	6	2  
 94753.549000  	    0	0	0  
 94953.919000  	    ba	9	2  
 94954.317000  	    30	0	0  
 95954.715000  	    9a	a	2  
 95955.146000  	    10	0	0  
 96005.593000  	    ba	9	2  
 96006.028000  	    30	0	0  
 97006.435000  	    4f	a	2  
 97006.871000  	    4a	a	2  
 97007.294000  	    0	0	0  
 100007.620000  	    ba	9	2  
 100008.004000  	    30	0	0  
 101008.346000  	    99	a	2  
 101008.744000  	    10	0	0  
 103009.120000  	    9a	6	2  
 103009.545000  	    0	0	0  
 103209.952000  	    ba	9	2  
 103210.374000  	    30	0	0  
