---------------------------------------------------
  Seconds  	 Bits to EIO (12) 	 CIO (13) 	 FIO (15)
---------------------------------------------------
 0.010000  	    b8	c	2  
 0.346000  	    10	0	0  
 9393.128000  	    b8	c	2  
 9393.599000  	    10	0	0  
 10688.302000  	    b8	c	2  
 10688.685000  	    10	0	0  
 13079.806000  	    88	f	2  
 13080.398000  	    88	e	2  
 13080.931000  	    0	0	0  
 16081.413000  	    78	c	2  
 16081.952000  	    50	0	0  
 17082.418000  	    ba	8	2  
 17082.994000  	    10	0	0  
 19083.465000  	    b9	4	2  
 19084.181000  	    0	0	0  
 19284.784000  	    78	c	2  
 19285.249000  	    50	0	0  
 20285.684000  	    b8	c	2  
 20286.227000  	    10	0	0  
 20336.849000  	    78	c	2  
 20337.496000  	    50	0	0  
 21337.962000  	    88	f	2  
 21338.497000  	    88	e	2  
 21338.973000  	    0	0	0  
 21390.139000  	    b8	c	2  
 21390.494000  	    10	0	0  
