---------------------------------------------------
  Seconds  	 Bits to EIO (12) 	 CIO (13) 	 FIO (15)
---------------------------------------------------
 0.029000  	    b9	8	2  
 0.528000  	    10	0	0  
 5928.826000  	    89	b	2  
 5929.351000  	    89	a	2  
 5929.823000  	    0	0	0  
 8930.428000  	    79	8	2  
 8930.979000  	    50	0	0  
 9931.454000  	    ba	8	2  
 9932.094000  	    10	0	0  
 11932.651000  	    b9	4	2  
 11933.167000  	    0	0	0  
 12133.624000  	    79	8	2  
 12134.150000  	    50	0	0  
 13134.575000  	    b9	8	2  
 13135.040000  	    10	0	0  
 13185.454000  	    79	8	2  
 13185.901000  	    50	0	0  
 14186.306000  	    89	b	2  
 14186.893000  	    89	a	2  
 14187.488000  	    0	0	0  
 17187.947000  	    79	8	2  
 17188.550000  	    50	0	0  
 18189.029000  	    ba	8	2  
 18189.494000  	    10	0	0  
 20189.937000  	    b9	4	2  
 20190.518000  	    0	0	0  
 20391.016000  	    79	8	2  
 20391.561000  	    50	0	0  
 21392.005000  	    b9	8	2  
 21392.470000  	    10	0	0  
 21442.992000  	    79	8	2  
 21443.564000  	    50	0	0  
 22444.070000  	    89	b	2  
 22444.586000  	    89	a	2  
 22445.093000  	    0	0	0  
 25445.567000  	    79	8	2  
 25446.038000  	    50	0	0  
 26446.541000  	    ba	8	2  
 26447.119000  	    10	0	0  
 28447.617000  	    b9	4	2  
 28448.163000  	    0	0	0  
 28648.584000  	    79	8	2  
 28649.062000  	    50	0	0  
 29649.540000  	    b9	8	2  
 29650.125000  	    10	0	0  
 29700.657000  	    79	8	2  
 29701.171000  	    50	0	0  
 30701.676000  	    89	b	2  
 30702.297000  	    89	a	2  
 30702.828000  	    0	0	0  
 33703.291000  	    79	8	2  
 33703.787000  	    50	0	0  
 34704.292000  	    ba	8	2  
 34704.905000  	    10	0	0  
 36705.481000  	    b9	4	2  
 36706.084000  	    0	0	0  
 36906.536000  	    79	8	2  
 36907.035000  	    50	0	0  
 37907.452000  	    b9	8	2  
 37907.986000  	    10	0	0  
 37958.495000  	    79	8	2  
 37959.039000  	    50	0	0  
 38959.548000  	    89	b	2  
 38960.125000  	    89	a	2  
 38960.604000  	    0	0	0  
 41961.123000  	    79	8	2  
 41961.719000  	    50	0	0  
 42962.205000  	    ba	8	2  
 42962.749000  	    10	0	0  
 44539.760000  	    b9	8	2  
 44540.223000  	    10	0	0  
