---------------------------------------------------
  Seconds  	 Bits to EIO (12) 	 CIO (13) 	 FIO (15)
---------------------------------------------------
 0.029000  	    ba	8	2  
 0.519000  	    10	0	0  
 3925.798000  	    8a	b	2  
 3927.539000  	    8a	a	2  
 3929.300000  	    0	0	0  
 6929.801000  	    7a	8	2  
 6931.605000  	    50	0	0  
 7932.086000  	    b9	8	2  
 7933.890000  	    10	0	0  
 9934.364000  	    ba	4	2  
 9936.211000  	    0	0	0  
 10136.657000  	    7a	8	2  
 10138.440000  	    50	0	0  
 11138.978000  	    ba	8	2  
 11140.762000  	    10	0	0  
 11191.187000  	    7a	8	2  
 11192.975000  	    50	0	0  
 12193.454000  	    8a	b	2  
 12195.339000  	    8a	a	2  
 12197.189000  	    0	0	0  
 15197.703000  	    7a	8	2  
 15199.558000  	    50	0	0  
 16200.035000  	    b9	8	2  
 16201.919000  	    10	0	0  
 18202.348000  	    ba	4	2  
 18204.210000  	    0	0	0  
 18404.667000  	    7a	8	2  
 18406.405000  	    50	0	0  
 19406.827000  	    ba	8	2  
 19408.625000  	    10	0	0  
 19459.159000  	    7a	8	2  
 19461.119000  	    50	0	0  
 20461.628000  	    8a	b	2  
 20463.424000  	    8a	a	2  
 20465.261000  	    0	0	0  
 23465.723000  	    7a	8	2  
 23467.431000  	    50	0	0  
 24467.882000  	    b9	8	2  
 24469.651000  	    10	0	0  
 26470.091000  	    ba	4	2  
 26471.874000  	    0	0	0  
 26672.320000  	    7a	8	2  
 26674.170000  	    50	0	0  
 27674.643000  	    ba	8	2  
 27676.505000  	    10	0	0  
 27727.041000  	    7a	8	2  
 27728.902000  	    50	0	0  
 28729.398000  	    8a	b	2  
 28731.333000  	    8a	a	2  
 28733.148000  	    0	0	0  
 31733.642000  	    7a	8	2  
 31735.514000  	    50	0	0  
 32735.972000  	    b9	8	2  
 32737.732000  	    10	0	0  
 34738.191000  	    ba	4	2  
 34740.031000  	    0	0	0  
 34940.514000  	    7a	8	2  
 34942.392000  	    50	0	0  
 35942.880000  	    ba	8	2  
 35944.787000  	    10	0	0  
 35995.332000  	    7a	8	2  
 35997.141000  	    50	0	0  
 36997.677000  	    8a	b	2  
 36999.541000  	    8a	a	2  
 37001.375000  	    0	0	0  
 37977.762000  	    ba	8	2  
 37978.188000  	    10	0	0  
 127493.466000  	    8a	b	2  
 127495.336000  	    8a	a	2  
 127497.101000  	    0	0	0  
 130497.575000  	    7a	8	2  
 130499.428000  	    50	0	0  
 131499.895000  	    b9	8	2  
 131501.687000  	    10	0	0  
 133502.120000  	    ba	4	2  
 133503.989000  	    0	0	0  
 133704.449000  	    7a	8	2  
 133706.199000  	    50	0	0  
 134706.641000  	    ba	8	2  
 134708.521000  	    10	0	0  
 134759.051000  	    7a	8	2  
 134760.862000  	    50	0	0  
 135761.330000  	    8a	b	2  
 135763.118000  	    8a	a	2  
 135764.950000  	    0	0	0  
 138765.485000  	    7a	8	2  
 138767.350000  	    50	0	0  
 139767.866000  	    b9	8	2  
 139769.742000  	    10	0	0  
 141770.220000  	    ba	4	2  
 141772.002000  	    0	0	0  
 141972.489000  	    7a	8	2  
 141974.335000  	    50	0	0  
 142974.792000  	    ba	8	2  
 142976.533000  	    10	0	0  
 143026.975000  	    7a	8	2  
 143028.871000  	    50	0	0  
 144029.359000  	    8a	b	2  
 144031.162000  	    8a	a	2  
 144032.884000  	    0	0	0  
 147033.389000  	    7a	8	2  
 147035.166000  	    50	0	0  
 148035.665000  	    b9	8	2  
 148037.529000  	    10	0	0  
 150037.999000  	    ba	4	2  
 150039.780000  	    0	0	0  
 150240.223000  	    7a	8	2  
 150241.989000  	    50	0	0  
 151242.417000  	    ba	8	2  
 151244.187000  	    10	0	0  
 151294.709000  	    7a	8	2  
 151296.613000  	    50	0	0  
 152297.132000  	    8a	b	2  
 152298.905000  	    8a	a	2  
 152300.690000  	    0	0	0  
 155301.164000  	    7a	8	2  
 155302.965000  	    50	0	0  
 156303.424000  	    b9	8	2  
 156305.277000  	    10	0	0  
 158305.769000  	    ba	4	2  
 158307.571000  	    0	0	0  
 158508.047000  	    7a	8	2  
 158509.909000  	    50	0	0  
 159510.369000  	    ba	8	2  
 159512.215000  	    10	0	0  
 159562.709000  	    7a	8	2  
 159564.588000  	    50	0	0  
 160565.123000  	    8a	b	2  
 160566.992000  	    8a	a	2  
 160568.825000  	    0	0	0  
 163569.269000  	    7a	8	2  
 163571.003000  	    50	0	0  
 164571.422000  	    b9	8	2  
 164573.169000  	    10	0	0  
 166573.542000  	    ba	4	2  
 166575.369000  	    0	0	0  
 166775.824000  	    7a	8	2  
 166777.595000  	    50	0	0  
 167778.056000  	    ba	8	2  
 167779.882000  	    10	0	0  
 167830.412000  	    7a	8	2  
 167832.294000  	    50	0	0  
 168832.789000  	    8a	b	2  
 168834.575000  	    8a	a	2  
 168836.296000  	    0	0	0  
 171836.778000  	    7a	8	2  
 171838.547000  	    50	0	0  
 172838.980000  	    b9	8	2  
 172840.823000  	    10	0	0  
 174841.263000  	    ba	4	2  
 174843.121000  	    0	0	0  
 175043.598000  	    7a	8	2  
 175045.424000  	    50	0	0  
 176045.864000  	    ba	8	2  
 176047.754000  	    10	0	0  
 176098.299000  	    7a	8	2  
 176100.139000  	    50	0	0  
 177100.639000  	    8a	b	2  
 177102.519000  	    8a	a	2  
 177104.357000  	    0	0	0  
 177255.780000  	    ba	8	2  
 177256.177000  	    10	0	0  
