---------------------------------------------------
  Seconds  	 Bits to EIO (12) 	 CIO (13) 	 FIO (15)
---------------------------------------------------
 0.032000  	    ba	8	2  
 0.464000  	    10	0	0  
 9257.673000  	    8a	b	2  
 9258.176000  	    8a	a	2  
 9258.644000  	    0	0	0  
 12259.083000  	    7a	8	2  
 12259.593000  	    50	0	0  
 13259.993000  	    b9	8	2  
 13260.457000  	    10	0	0  
 15260.914000  	    ba	4	2  
 15261.451000  	    0	0	0  
 15461.936000  	    7a	8	2  
 15462.488000  	    50	0	0  
 16462.927000  	    ba	8	2  
 16463.527000  	    10	0	0  
 16514.046000  	    7a	8	2  
 16514.605000  	    50	0	0  
 17515.049000  	    8a	b	2  
 17515.512000  	    8a	a	2  
 17515.975000  	    0	0	0  
 20516.445000  	    7a	8	2  
 20517.002000  	    50	0	0  
 21517.449000  	    b9	8	2  
 21517.965000  	    10	0	0  
 23518.407000  	    ba	4	2  
 23518.939000  	    0	0	0  
 23719.362000  	    7a	8	2  
 23719.827000  	    50	0	0  
 24720.246000  	    ba	8	2  
 24720.835000  	    10	0	0  
 24771.366000  	    7a	8	2  
 24771.888000  	    50	0	0  
 25772.334000  	    8a	b	2  
 25772.809000  	    8a	a	2  
 25773.279000  	    0	0	0  
 28773.742000  	    7a	8	2  
 28774.315000  	    50	0	0  
 29774.764000  	    b9	8	2  
 29775.221000  	    10	0	0  
 31775.656000  	    ba	4	2  
 31776.237000  	    0	0	0  
 31976.746000  	    7a	8	2  
 31977.327000  	    50	0	0  
 32977.801000  	    ba	8	2  
 32978.375000  	    10	0	0  
 33028.918000  	    7a	8	2  
 33029.470000  	    50	0	0  
 34029.970000  	    8a	b	2  
 34030.539000  	    8a	a	2  
 34031.043000  	    0	0	0  
 37031.477000  	    7a	8	2  
 37031.969000  	    50	0	0  
 38032.376000  	    b9	8	2  
 38032.864000  	    10	0	0  
 40033.381000  	    ba	4	2  
 40033.908000  	    0	0	0  
 40234.404000  	    7a	8	2  
 40234.935000  	    50	0	0  
 41235.401000  	    ba	8	2  
 41235.941000  	    10	0	0  
 41286.450000  	    7a	8	2  
 41286.989000  	    50	0	0  
 42287.454000  	    8a	b	2  
 42287.990000  	    8a	a	2  
 42288.490000  	    0	0	0  
 45288.949000  	    7a	8	2  
 45289.470000  	    50	0	0  
 46289.934000  	    b9	8	2  
 46290.436000  	    10	0	0  
 48290.835000  	    ba	4	2  
 48291.499000  	    0	0	0  
 48491.980000  	    7a	8	2  
 48492.459000  	    50	0	0  
 49492.942000  	    ba	8	2  
 49493.428000  	    10	0	0  
 49543.918000  	    7a	8	2  
 49544.473000  	    50	0	0  
 50544.900000  	    8a	b	2  
 50545.362000  	    8a	a	2  
 50545.817000  	    0	0	0  
 53546.299000  	    7a	8	2  
 53546.878000  	    50	0	0  
 54547.389000  	    b9	8	2  
 54547.912000  	    10	0	0  
 56548.384000  	    ba	4	2  
 56548.970000  	    0	0	0  
 56749.485000  	    7a	8	2  
 56750.002000  	    50	0	0  
 57750.423000  	    ba	8	2  
 57750.937000  	    10	0	0  
 57801.453000  	    7a	8	2  
 57801.994000  	    50	0	0  
 58802.454000  	    8a	b	2  
 58803.741000  	    8a	a	2  
 58804.212000  	    0	0	0  
 61804.643000  	    7a	8	2  
 61805.174000  	    50	0	0  
 62805.645000  	    b9	8	2  
 62806.174000  	    10	0	0  
 64806.673000  	    ba	4	2  
 64807.287000  	    0	0	0  
 65007.802000  	    7a	8	2  
 65008.346000  	    50	0	0  
 66008.841000  	    ba	8	2  
 66009.380000  	    10	0	0  
 66059.876000  	    7a	8	2  
 66060.395000  	    50	0	0  
 67060.866000  	    8a	b	2  
 67061.442000  	    8a	a	2  
 67061.969000  	    0	0	0  
 70062.384000  	    7a	8	2  
 70062.855000  	    50	0	0  
 71063.290000  	    b9	8	2  
 71063.793000  	    10	0	0  
 73064.244000  	    ba	4	2  
 73064.789000  	    0	0	0  
 73265.270000  	    7a	8	2  
 73265.809000  	    50	0	0  
 74266.261000  	    ba	8	2  
 74266.783000  	    10	0	0  
 74317.286000  	    7a	8	2  
 74317.841000  	    50	0	0  
 75318.341000  	    8a	b	2  
 75318.868000  	    8a	a	2  
 75319.338000  	    0	0	0  
 78319.814000  	    7a	8	2  
 78320.354000  	    50	0	0  
 79320.841000  	    b9	8	2  
 79321.401000  	    10	0	0  
 81321.870000  	    ba	4	2  
 81322.393000  	    0	0	0  
 81522.797000  	    7a	8	2  
 81523.283000  	    50	0	0  
 82523.734000  	    ba	8	2  
 82524.278000  	    10	0	0  
 82574.778000  	    7a	8	2  
 82575.265000  	    50	0	0  
 83575.755000  	    8a	b	2  
 83576.289000  	    8a	a	2  
 83576.793000  	    0	0	0  
 86577.249000  	    7a	8	2  
 86577.800000  	    50	0	0  
 87578.368000  	    b9	8	2  
 87578.896000  	    10	0	0  
 89579.389000  	    ba	4	2  
 89579.995000  	    0	0	0  
 89780.561000  	    7a	8	2  
 89781.128000  	    50	0	0  
 90781.646000  	    ba	8	2  
 90782.234000  	    10	0	0  
 90832.747000  	    7a	8	2  
 90833.286000  	    50	0	0  
 91833.768000  	    8a	b	2  
 91834.302000  	    8a	a	2  
 91834.805000  	    0	0	0  
 94835.309000  	    7a	8	2  
 94835.850000  	    50	0	0  
 95836.292000  	    b9	8	2  
 95836.833000  	    10	0	0  
 97837.281000  	    ba	4	2  
 97837.732000  	    0	0	0  
 98038.129000  	    7a	8	2  
 98038.637000  	    50	0	0  
 99039.053000  	    ba	8	2  
 99039.487000  	    10	0	0  
 99089.926000  	    7a	8	2  
 99090.452000  	    50	0	0  
 100090.926000  	    8a	b	2  
 100091.468000  	    8a	a	2  
 100091.974000  	    0	0	0  
 103092.467000  	    7a	8	2  
 103093.074000  	    50	0	0  
 104093.592000  	    b9	8	2  
 104094.128000  	    10	0	0  
 106094.586000  	    ba	4	2  
 106095.138000  	    0	0	0  
 106295.625000  	    7a	8	2  
 106296.143000  	    50	0	0  
 107296.549000  	    ba	8	2  
 107297.042000  	    10	0	0  
 107347.538000  	    7a	8	2  
 107348.086000  	    50	0	0  
 108348.557000  	    8a	b	2  
 108349.074000  	    8a	a	2  
 108349.529000  	    0	0	0  
 111349.920000  	    7a	8	2  
 111350.398000  	    50	0	0  
 112350.796000  	    b9	8	2  
 112351.336000  	    10	0	0  
 114351.814000  	    ba	4	2  
 114352.395000  	    0	0	0  
 114552.869000  	    7a	8	2  
 114553.350000  	    50	0	0  
 115553.793000  	    ba	8	2  
 115554.293000  	    10	0	0  
 115604.775000  	    7a	8	2  
 115605.274000  	    50	0	0  
 116605.809000  	    8a	b	2  
 116606.376000  	    8a	a	2  
 116606.905000  	    0	0	0  
 119607.419000  	    7a	8	2  
 119608.005000  	    50	0	0  
 120608.503000  	    b9	8	2  
 120609.053000  	    10	0	0  
 122609.479000  	    ba	4	2  
 122609.986000  	    0	0	0  
 122810.413000  	    7a	8	2  
 122810.942000  	    50	0	0  
 123811.387000  	    ba	8	2  
 123811.928000  	    10	0	0  
 123862.431000  	    7a	8	2  
 123862.956000  	    50	0	0  
 124863.465000  	    8a	b	2  
 124864.039000  	    8a	a	2  
 124864.555000  	    0	0	0  
 127865.031000  	    7a	8	2  
 127865.572000  	    50	0	0  
 128866.006000  	    b9	8	2  
 128866.497000  	    10	0	0  
 130866.928000  	    ba	4	2  
 130867.465000  	    0	0	0  
 131067.907000  	    7a	8	2  
 131068.379000  	    50	0	0  
 132068.805000  	    ba	8	2  
 132069.381000  	    10	0	0  
 132119.891000  	    7a	8	2  
 132120.441000  	    50	0	0  
 133120.922000  	    8a	b	2  
 133121.476000  	    8a	a	2  
 133121.988000  	    0	0	0  
 136122.418000  	    7a	8	2  
 136122.873000  	    50	0	0  
 137123.278000  	    b9	8	2  
 137123.875000  	    10	0	0  
 139124.318000  	    ba	4	2  
 139124.809000  	    0	0	0  
 139325.257000  	    7a	8	2  
 139325.799000  	    50	0	0  
 140326.243000  	    ba	8	2  
 140326.739000  	    10	0	0  
 140377.200000  	    7a	8	2  
 140377.734000  	    50	0	0  
 141378.233000  	    8a	b	2  
 141378.760000  	    8a	a	2  
 141379.239000  	    0	0	0  
 144379.633000  	    7a	8	2  
 144380.091000  	    50	0	0  
 145380.510000  	    b9	8	2  
 145381.008000  	    10	0	0  
 147103.947000  	    ba	8	2  
 147104.419000  	    10	0	0  
