---------------------------------------------------
  Seconds  	 Bits to EIO (12) 	 CIO (13) 	 FIO (15)
---------------------------------------------------
 0.031000  	    b9	8	2  
 0.459000  	    10	0	0  
 6664.063000  	    89	b	2  
 6664.598000  	    89	a	2  
 6665.098000  	    0	0	0  
 9665.661000  	    79	8	2  
 9666.226000  	    50	0	0  
 10666.732000  	    ba	8	2  
 10667.273000  	    10	0	0  
 12667.693000  	    b9	4	2  
 12668.143000  	    0	0	0  
 12868.554000  	    79	8	2  
 12869.072000  	    50	0	0  
 13869.468000  	    b9	8	2  
 13870.012000  	    10	0	0  
 13920.512000  	    79	8	2  
 13921.117000  	    50	0	0  
 14921.664000  	    89	b	2  
 14922.253000  	    89	a	2  
 14922.790000  	    0	0	0  
 17923.218000  	    79	8	2  
 17923.677000  	    50	0	0  
 18924.096000  	    ba	8	2  
 18924.601000  	    10	0	0  
 20925.006000  	    b9	4	2  
 20925.519000  	    0	0	0  
 21125.975000  	    79	8	2  
 21126.450000  	    50	0	0  
 22126.898000  	    b9	8	2  
 22127.404000  	    10	0	0  
 22177.884000  	    79	8	2  
 22178.401000  	    50	0	0  
 23178.904000  	    89	b	2  
 23179.481000  	    89	a	2  
 23180.180000  	    0	0	0  
 26180.664000  	    79	8	2  
 26181.180000  	    50	0	0  
 27181.647000  	    ba	8	2  
 27182.153000  	    10	0	0  
 29182.605000  	    b9	4	2  
 29183.138000  	    0	0	0  
 29383.572000  	    79	8	2  
 29384.072000  	    50	0	0  
 30384.484000  	    b9	8	2  
 30384.993000  	    10	0	0  
 30435.510000  	    79	8	2  
 30436.068000  	    50	0	0  
 31436.503000  	    89	b	2  
 31436.967000  	    89	a	2  
 31437.442000  	    0	0	0  
 34437.910000  	    79	8	2  
 34438.427000  	    50	0	0  
 35438.844000  	    ba	8	2  
 35439.349000  	    10	0	0  
 37439.832000  	    b9	4	2  
 37440.389000  	    0	0	0  
 37640.915000  	    79	8	2  
 37641.470000  	    50	0	0  
 38641.899000  	    b9	8	2  
 38642.347000  	    10	0	0  
 38692.769000  	    79	8	2  
 38693.322000  	    50	0	0  
 39693.814000  	    89	b	2  
 39694.373000  	    89	a	2  
 39694.869000  	    0	0	0  
 42695.292000  	    79	8	2  
 42695.778000  	    50	0	0  
 43696.213000  	    ba	8	2  
 43696.731000  	    10	0	0  
 45697.139000  	    b9	4	2  
 45697.664000  	    0	0	0  
 45898.128000  	    79	8	2  
 45898.675000  	    50	0	0  
 46899.135000  	    b9	8	2  
 46899.700000  	    10	0	0  
 46950.209000  	    79	8	2  
 46950.758000  	    50	0	0  
 47951.213000  	    89	b	2  
 47951.804000  	    89	a	2  
 47952.340000  	    0	0	0  
 50952.827000  	    79	8	2  
 50953.389000  	    50	0	0  
 51953.878000  	    ba	8	2  
 51954.381000  	    10	0	0  
 53954.867000  	    b9	4	2  
 53955.425000  	    0	0	0  
 54155.873000  	    79	8	2  
 54156.356000  	    50	0	0  
 55156.784000  	    b9	8	2  
 55157.316000  	    10	0	0  
 55207.838000  	    79	8	2  
 55208.373000  	    50	0	0  
 56208.838000  	    89	b	2  
 56209.347000  	    89	a	2  
 56209.829000  	    0	0	0  
 59210.269000  	    79	8	2  
 59210.784000  	    50	0	0  
 60211.202000  	    ba	8	2  
 60211.732000  	    10	0	0  
 62212.156000  	    b9	4	2  
 62212.681000  	    0	0	0  
 62413.144000  	    79	8	2  
 62413.683000  	    50	0	0  
 63414.123000  	    b9	8	2  
 63414.642000  	    10	0	0  
 63465.138000  	    79	8	2  
 63465.723000  	    50	0	0  
 64466.201000  	    89	b	2  
 64466.709000  	    89	a	2  
 64467.187000  	    0	0	0  
 67467.666000  	    79	8	2  
 67468.202000  	    50	0	0  
 68468.647000  	    ba	8	2  
 68469.140000  	    10	0	0  
 70469.591000  	    b9	4	2  
 70470.173000  	    0	0	0  
 70670.618000  	    79	8	2  
 70671.127000  	    50	0	0  
 71671.603000  	    b9	8	2  
 71672.135000  	    10	0	0  
 71722.615000  	    79	8	2  
 71723.116000  	    50	0	0  
 72723.563000  	    89	b	2  
 72724.102000  	    89	a	2  
 72724.604000  	    0	0	0  
 75725.112000  	    79	8	2  
 75725.664000  	    50	0	0  
 76726.173000  	    ba	8	2  
 76726.727000  	    10	0	0  
 78727.192000  	    b9	4	2  
 78727.737000  	    0	0	0  
 78928.191000  	    79	8	2  
 78928.712000  	    50	0	0  
 79929.124000  	    b9	8	2  
 79929.632000  	    10	0	0  
 79980.107000  	    79	8	2  
 79980.655000  	    50	0	0  
 80981.201000  	    89	b	2  
 80981.723000  	    89	a	2  
 80982.212000  	    0	0	0  
 83982.647000  	    79	8	2  
 83983.176000  	    50	0	0  
 84983.656000  	    ba	8	2  
 84984.200000  	    10	0	0  
 86984.733000  	    b9	4	2  
 86985.273000  	    0	0	0  
 87185.727000  	    79	8	2  
 87186.231000  	    50	0	0  
 88186.662000  	    b9	8	2  
 88187.141000  	    10	0	0  
 88237.585000  	    79	8	2  
 88238.152000  	    50	0	0  
 89238.628000  	    89	b	2  
 89239.199000  	    89	a	2  
 89239.711000  	    0	0	0  
 92240.178000  	    79	8	2  
 92240.699000  	    50	0	0  
 93241.165000  	    ba	8	2  
 93241.693000  	    10	0	0  
 95242.166000  	    b9	4	2  
 95242.734000  	    0	0	0  
 95443.147000  	    79	8	2  
 95443.585000  	    50	0	0  
 96443.988000  	    b9	8	2  
 96444.531000  	    10	0	0  
 96495.024000  	    79	8	2  
 96495.562000  	    50	0	0  
 96514.674000  	    b9	8	2  
 96515.034000  	    10	0	0  
