---------------------------------------------------
  Seconds  	 Bits to EIO (12) 	 CIO (13) 	 FIO (15)
---------------------------------------------------
 0.008000  	    ba	8	2  
 0.360000  	    10	0	0  
 17512.728000  	    8a	b	2  
 17513.248000  	    8a	a	2  
 17513.739000  	    0	0	0  
 20514.234000  	    7a	8	2  
 20514.789000  	    50	0	0  
 21515.303000  	    b9	8	2  
 21515.849000  	    10	0	0  
 23516.289000  	    ba	4	2  
 23516.803000  	    0	0	0  
 23717.276000  	    7a	8	2  
 23717.847000  	    50	0	0  
 24718.301000  	    ba	8	2  
 24718.820000  	    10	0	0  
 24769.283000  	    7a	8	2  
 24769.836000  	    50	0	0  
 25770.355000  	    8a	b	2  
 25770.915000  	    8a	a	2  
 25771.443000  	    0	0	0  
 28771.909000  	    7a	8	2  
 28772.442000  	    50	0	0  
 29772.854000  	    b9	8	2  
 29773.307000  	    10	0	0  
 31773.725000  	    ba	4	2  
 31774.211000  	    0	0	0  
 31974.634000  	    7a	8	2  
 31975.117000  	    50	0	0  
 32975.515000  	    ba	8	2  
 32976.034000  	    10	0	0  
 33026.563000  	    7a	8	2  
 33027.126000  	    50	0	0  
 34027.612000  	    8a	b	2  
 34028.163000  	    8a	a	2  
 34028.663000  	    0	0	0  
 37029.157000  	    7a	8	2  
 37029.715000  	    50	0	0  
 38030.188000  	    b9	8	2  
 38030.754000  	    10	0	0  
 40031.203000  	    ba	4	2  
 40031.716000  	    0	0	0  
 40232.158000  	    7a	8	2  
 40232.636000  	    50	0	0  
 41233.073000  	    ba	8	2  
 41233.635000  	    10	0	0  
 41284.148000  	    7a	8	2  
 41284.705000  	    50	0	0  
 42285.232000  	    8a	b	2  
 42285.801000  	    8a	a	2  
 42286.283000  	    0	0	0  
 45286.726000  	    7a	8	2  
 45287.265000  	    50	0	0  
 46287.724000  	    b9	8	2  
 46288.252000  	    10	0	0  
 48288.681000  	    ba	4	2  
 48289.171000  	    0	0	0  
 48489.647000  	    7a	8	2  
