---------------------------------------------------
  Seconds  	 Bits to EIO (12) 	 CIO (13) 	 FIO (15)
---------------------------------------------------
 0.043000  	    9a	a	2  
 0.428000  	    10	0	0  
 4912.776000  	    9f	a	2  
 4913.208000  	    10	0	0  
 6336.542000  	    9f	a	2  
 6336.965000  	    10	0	0  
 8927.923000  	    4a	a	2  
 8928.380000  	    0	0	0  
 10096.263000  	    9a	a	2  
 10096.653000  	    10	0	0  
 11375.757000  	    ba	9	2  
 11376.209000  	    30	0	0  
 12375.680000  	    10	0	0  
 13687.247000  	    4f	a	2  
 13687.771000  	    4a	a	2  
 13688.278000  	    0	0	0  
 16688.758000  	    ba	9	2  
 16689.350000  	    30	0	0  
 17689.833000  	    99	a	2  
 17690.355000  	    10	0	0  
 19690.823000  	    9a	6	2  
 19691.363000  	    0	0	0  
 19891.803000  	    ba	9	2  
 19892.309000  	    30	0	0  
 20892.790000  	    9a	a	2  
 20893.326000  	    10	0	0  
 20943.838000  	    ba	9	2  
 20944.366000  	    30	0	0  
 21944.826000  	    4f	a	2  
 21945.327000  	    4a	a	2  
 21945.799000  	    0	0	0  
 24946.288000  	    ba	9	2  
 24946.845000  	    30	0	0  
 25947.287000  	    99	a	2  
 25947.769000  	    10	0	0  
 27948.317000  	    9a	6	2  
 27948.873000  	    0	0	0  
 28149.362000  	    ba	9	2  
 28149.893000  	    30	0	0  
 29150.338000  	    9a	a	2  
 29150.840000  	    10	0	0  
 29201.322000  	    ba	9	2  
 29201.859000  	    30	0	0  
 30202.315000  	    4f	a	2  
 30202.890000  	    4a	a	2  
 30203.380000  	    0	0	0  
 33203.827000  	    ba	9	2  
 33204.440000  	    30	0	0  
 34204.918000  	    99	a	2  
 34205.501000  	    10	0	0  
 36205.959000  	    9a	6	2  
 36206.472000  	    0	0	0  
 36406.895000  	    ba	9	2  
 36407.353000  	    30	0	0  
 37407.807000  	    9a	a	2  
 37408.412000  	    10	0	0  
 37458.937000  	    ba	9	2  
 37459.463000  	    30	0	0  
 38459.967000  	    4f	a	2  
 38460.556000  	    4a	a	2  
 38461.084000  	    0	0	0  
 41461.558000  	    ba	9	2  
 41462.120000  	    30	0	0  
 42462.553000  	    99	a	2  
 42463.009000  	    10	0	0  
 44463.421000  	    9a	6	2  
 44463.976000  	    0	0	0  
 44664.433000  	    ba	9	2  
 44664.993000  	    30	0	0  
 45665.450000  	    9a	a	2  
 45665.971000  	    10	0	0  
 45716.438000  	    ba	9	2  
 45716.955000  	    30	0	0  
 46717.425000  	    4f	a	2  
 46717.957000  	    4a	a	2  
 46718.455000  	    0	0	0  
 49718.887000  	    ba	9	2  
 49719.398000  	    30	0	0  
 50719.852000  	    99	a	2  
 50720.339000  	    10	0	0  
 52720.773000  	    9a	6	2  
 52721.343000  	    0	0	0  
 52921.816000  	    ba	9	2  
 52922.360000  	    30	0	0  
 53922.821000  	    9a	a	2  
 53923.364000  	    10	0	0  
 53973.800000  	    ba	9	2  
 53974.274000  	    30	0	0  
 54974.878000  	    4f	a	2  
 54975.408000  	    4a	a	2  
 54975.905000  	    0	0	0  
 57976.459000  	    ba	9	2  
 57977.008000  	    30	0	0  
 58977.540000  	    99	a	2  
 58978.093000  	    10	0	0  
 60978.625000  	    9a	6	2  
 60979.227000  	    0	0	0  
 61179.779000  	    ba	9	2  
 61180.321000  	    30	0	0  
 62180.752000  	    9a	a	2  
 62181.270000  	    10	0	0  
 62231.785000  	    ba	9	2  
 62232.385000  	    30	0	0  
 63232.857000  	    4f	a	2  
 63233.446000  	    4a	a	2  
 63233.978000  	    0	0	0  
 66234.476000  	    ba	9	2  
 66235.035000  	    30	0	0  
 67235.501000  	    99	a	2  
 67236.039000  	    10	0	0  
 69236.473000  	    9a	6	2  
 69236.956000  	    0	0	0  
 69437.364000  	    ba	9	2  
 69437.850000  	    30	0	0  
 70438.223000  	    9a	a	2  
 70438.708000  	    10	0	0  
 70489.199000  	    ba	9	2  
 70489.757000  	    30	0	0  
 71490.231000  	    4f	a	2  
 71490.759000  	    4a	a	2  
 71491.258000  	    0	0	0  
 74491.750000  	    ba	9	2  
 74492.286000  	    30	0	0  
 75492.761000  	    99	a	2  
 75493.298000  	    10	0	0  
 77493.781000  	    9a	6	2  
 77494.346000  	    0	0	0  
 77694.834000  	    ba	9	2  
 77695.391000  	    30	0	0  
 78695.868000  	    9a	a	2  
 78696.429000  	    10	0	0  
 78746.960000  	    ba	9	2  
 78747.480000  	    30	0	0  
 79747.961000  	    4f	a	2  
 79748.531000  	    4a	a	2  
 79749.317000  	    0	0	0  
 82567.531000  	    9a	a	2  
 82567.930000  	    10	0	0  
