---------------------------------------------------
  Seconds  	 Bits to EIO (12) 	 CIO (13) 	 FIO (15)
 3629427.248000  	    7a	8	2  
 3629428.534000  	    50	0	0  
 3630430.909000  	    b9	0	2  
 3630432.228000  	    10	0	0  
 3639433.566000  	    7a	8	2  
 3639434.864000  	    50	0	0  
 3640437.301000  	    ba	0	2  
 3640438.533000  	    10	0	0  
 3640639.957000  	    7a	8	2  
 3640641.234000  	    50	0	0  
 3641643.815000  	    8a	3	2  
 3641645.136000  	    8a	2	2  
 3641646.506000  	    0	0	0  
 3647647.985000  	    7a	8	2  
 3647649.282000  	    50	0	0  
 3648651.867000  	    b9	0	2  
 3648653.065000  	    10	0	0  
 3657654.332000  	    7a	8	2  
 3657655.575000  	    50	0	0  
 3658657.885000  	    ba	0	2  
 3658659.201000  	    10	0	0  
 3658860.564000  	    7a	8	2  
 3658861.813000  	    50	0	0  
 3659864.001000  	    8a	3	2  
 3659865.239000  	    8a	2	2  
 3659866.436000  	    0	0	0  
 3665867.645000  	    7a	8	2  
 3665868.820000  	    50	0	0  
 3666871.215000  	    b9	0	2  
 3666872.455000  	    10	0	0  
 3675873.732000  	    7a	8	2  
 3675874.972000  	    50	0	0  
 3676877.206000  	    ba	0	2  
 3676878.488000  	    10	0	0  
 3677079.874000  	    7a	8	2  
 3677081.160000  	    50	0	0  
 3678083.457000  	    8a	3	2  
 3678084.640000  	    8a	2	2  
 3678085.787000  	    0	0	0  
 3684087.034000  	    7a	8	2  
 3684088.350000  	    50	0	0  
 3685090.900000  	    b9	0	2  
 3685092.151000  	    10	0	0  
 3694093.524000  	    7a	8	2  
 3694094.809000  	    50	0	0  
 3695097.169000  	    ba	0	2  
 3695098.360000  	    10	0	0  
 3695299.718000  	    7a	8	2  
 3695301.009000  	    50	0	0  
 3696303.584000  	    8a	3	2  
 3696304.810000  	    8a	2	2  
 3696306.031000  	    0	0	0  
 3702307.377000  	    7a	8	2  
 3702308.641000  	    50	0	0  
 3703310.492000  	    b9	0	2  
 3703311.660000  	    10	0	0  
 3712312.938000  	    7a	8	2  
 3712314.214000  	    50	0	0  
 3713316.554000  	    ba	0	2  
 3713317.839000  	    10	0	0  
 3713519.181000  	    7a	8	2  
 3713520.394000  	    50	0	0  
 3714522.564000  	    8a	3	2  
 3714523.858000  	    8a	2	2  
 3714525.145000  	    0	0	0  
 3720526.472000  	    7a	8	2  
 3720527.712000  	    50	0	0  
 3721529.928000  	    b9	0	2  
 3721531.234000  	    10	0	0  
 3730532.614000  	    7a	8	2  
 3730533.910000  	    50	0	0  
 3731536.384000  	    ba	0	2  
 3731537.579000  	    10	0	0  
 3731738.948000  	    7a	8	2  
 3731740.251000  	    50	0	0  
 3732742.816000  	    8a	3	2  
 3732744.009000  	    8a	2	2  
 3732745.258000  	    0	0	0  
 3738746.604000  	    7a	8	2  
 3738747.892000  	    50	0	0  
 3739750.162000  	    b9	0	2  
 3739751.467000  	    10	0	0  
 3748752.792000  	    7a	8	2  
 3748753.961000  	    50	0	0  
 3749756.287000  	    ba	0	2  
 3749757.526000  	    10	0	0  
 3749958.873000  	    7a	8	2  
 3749960.167000  	    50	0	0  
 3750962.438000  	    b6	1	2  
 3750963.713000  	    86	2	2  
 3750964.971000  	    0	0	0  
 3756966.288000  	    76	8	2  
 3756967.532000  	    50	0	0  
 3757969.896000  	    b5	0	2  
 3757971.161000  	    10	0	0  
 3766972.490000  	    76	8	2  
 3766973.783000  	    50	0	0  
 3767976.324000  	    b6	0	2  
 3767977.518000  	    10	0	0  
 3768178.875000  	    76	8	2  
 3768180.158000  	    50	0	0  
 3769188.309000  	    8a	3	2  
 3769189.478000  	    8a	2	2  
 3769190.607000  	    0	0	0  
 3775191.820000  	    7a	8	2  
 3775193.079000  	    50	0	0  
 3776195.383000  	    b9	0	2  
 3776196.583000  	    10	0	0  
 3785198.033000  	    7a	8	2  
 3785199.285000  	    50	0	0  
 3786201.690000  	    ba	0	2  
 3786202.958000  	    10	0	0  
 3786404.310000  	    7a	8	2  
 3786405.553000  	    50	0	0  
 3787407.929000  	    8a	3	2  
 3787409.322000  	    8a	2	2  
 3787410.637000  	    0	0	0  
 3793411.991000  	    7a	8	2  
 3793413.302000  	    50	0	0  
 3794415.728000  	    b9	0	2  
 3794416.984000  	    10	0	0  
 3803418.343000  	    7a	8	2  
 3803419.657000  	    50	0	0  
 3804421.915000  	    ba	0	2  
 3804423.087000  	    10	0	0  
 3804624.358000  	    7a	8	2  
 3804625.587000  	    50	0	0  
 3805627.907000  	    8a	3	2  
 3805629.121000  	    8a	2	2  
 3805630.476000  	    0	0	0  
 3811631.877000  	    7a	8	2  
 3811633.110000  	    50	0	0  
 3812635.250000  	    b9	0	2  
 3812636.390000  	    10	0	0  
 3821637.622000  	    7a	8	2  
 3821638.849000  	    50	0	0  
 3822641.211000  	    ba	0	2  
 3822642.478000  	    10	0	0  
 3822843.845000  	    7a	8	2  
 3822845.120000  	    50	0	0  
 3823847.411000  	    8a	3	2  
 3823848.714000  	    8a	2	2  
 3823849.980000  	    0	0	0  
 3829851.262000  	    7a	8	2  
 3829852.443000  	    50	0	0  
 3830854.609000  	    b9	0	2  
 3830855.845000  	    10	0	0  
 3839857.193000  	    7a	8	2  
 3839858.402000  	    50	0	0  
 3840860.828000  	    ba	0	2  
 3840862.092000  	    10	0	0  
 3841063.501000  	    7a	8	2  
 3841064.804000  	    50	0	0  
 3842067.164000  	    8a	3	2  
 3842068.379000  	    8a	2	2  
 3842069.595000  	    0	0	0  
 3848070.860000  	    7a	8	2  
 3848072.100000  	    50	0	0  
 3849074.469000  	    b9	0	2  
 3849075.710000  	    10	0	0  
 3858077.077000  	    7a	8	2  
 3858078.328000  	    50	0	0  
 3859080.672000  	    ba	0	2  
 3859081.914000  	    10	0	0  
 3859283.270000  	    7a	8	2  
 3859284.613000  	    50	0	0  
