---------------------------------------------------
  Seconds  	 Bits to EIO (12) 	 CIO (13) 	 FIO (15)
---------------------------------------------------
 0.038000  	    ba	0	2  
 0.450000  	    10	0	0  
 11094.838000  	    8a	3	2  
 11095.399000  	    8a	2	2  
 11095.904000  	    0	0	0  
 14096.433000  	    7a	8	2  
 14096.971000  	    50	0	0  
 15098.087000  	    b9	0	2  
 15098.567000  	    10	0	0  
 17099.083000  	    ba	4	2  
 17099.675000  	    0	0	0  
 17300.149000  	    7a	8	2  
 17300.674000  	    50	0	0  
 18301.192000  	    ba	0	2  
 18301.745000  	    10	0	0  
 18352.235000  	    7a	8	2  
 18352.765000  	    50	0	0  
 19353.243000  	    8a	3	2  
 19353.754000  	    8a	2	2  
 19354.215000  	    0	0	0  
 22354.802000  	    7a	8	2  
 22355.374000  	    50	0	0  
 23355.860000  	    b9	0	2  
 23356.405000  	    10	0	0  
 25356.840000  	    ba	4	2  
 25357.399000  	    0	0	0  
 25557.818000  	    7a	8	2  
 25558.313000  	    50	0	0  
 26558.794000  	    ba	0	2  
 26559.302000  	    10	0	0  
 26609.794000  	    7a	8	2  
 26610.388000  	    50	0	0  
 27610.917000  	    8a	3	2  
 27611.563000  	    8a	2	2  
 27612.091000  	    0	0	0  
 30107.969000  	    ba	0	2  
 30108.369000  	    10	0	0  
