---------------------------------------------------
  Seconds     A1       B2       C3       D4    
---------------------------------------------------
        0    	22.7	22.8	22.1	22.6
       60    	23.0	22.8	22.3	22.6
      120    	22.7	22.8	22.3	22.6
      180    	22.7	22.8	22.1	22.3
      240    	22.7	22.8	22.1	22.6
      300    	22.7	22.8	22.1	22.6
      360    	22.7	22.8	22.3	22.6
      420    	22.4	22.8	22.3	22.6
      480    	22.7	22.8	22.3	22.6
      540    	23.0	22.5	22.1	22.3
      600    	22.7	22.8	22.1	22.3
      660    	22.7	22.8	22.1	22.3
      720    	22.7	22.8	22.1	22.6
      780    	22.7	23.1	22.1	22.6
      840    	22.7	23.1	22.1	22.6
      900    	22.7	23.1	22.3	22.3
      960    	22.7	22.8	22.3	22.6
     1020    	22.4	23.1	22.1	22.6
     1080    	23.0	22.8	22.1	22.6
     1140    	22.4	23.1	22.1	22.3
     1200    	22.7	22.8	22.3	22.3
     1260    	22.7	22.8	22.3	22.3
     1320    	22.7	22.8	22.3	22.6
     1380    	23.0	22.8	22.1	22.9
     1440    	22.7	23.1	22.1	22.6
     1500    	22.4	22.5	22.1	22.3
     1560    	23.0	22.8	22.1	22.6
     1620    	23.0	22.8	22.3	22.6
     1680    	22.7	22.8	22.3	22.9
     1740    	23.0	22.8	22.3	22.6
     1800    	22.7	23.1	22.1	22.3
     1860    	22.7	22.8	22.3	22.6
     1920    	22.7	22.8	22.1	22.3
     1980    	22.7	22.8	22.1	22.6
     2040    	22.7	23.1	22.3	22.6
     2100    	22.7	22.8	22.1	22.6
     2160    	22.7	22.8	22.3	22.6
     2220    	22.7	22.8	22.1	22.3
     2280    	22.7	22.5	22.1	22.3
     2340    	22.4	22.8	22.1	22.6
     2400    	22.7	22.8	22.1	22.3
     2460    	23.0	23.1	22.1	22.6
     2520    	22.7	22.8	22.3	22.6
     2580    	22.7	22.8	22.3	22.6
     2640    	22.7	22.5	22.1	22.6
     2700    	22.7	22.8	22.3	22.6
     2760    	22.7	23.1	22.1	22.6
     2820    	22.7	22.8	22.1	22.3
     2880    	22.7	23.1	22.1	22.3
     2940    	22.7	22.8	22.3	22.6
     3000    	22.7	22.8	22.3	22.3
     3060    	22.7	23.1	22.1	22.6
     3120    	23.0	22.8	22.3	22.6
     3180    	22.7	22.8	22.1	22.3
     3240    	22.7	22.5	22.1	22.3
     3300    	22.7	22.8	22.1	22.6
     3360    	22.7	22.8	22.1	22.3
     3420    	22.7	22.8	22.1	22.6
     3480    	22.7	22.8	22.1	22.3
     3540    	22.7	23.1	22.1	22.3
     3600    	22.7	22.8	22.1	22.3
     3660    	23.0	22.8	22.3	22.3
     3720    	22.4	22.8	22.1	22.3
     3780    	22.7	22.8	22.1	22.6
     3840    	22.7	22.8	22.3	22.1
     3900    	22.7	22.8	22.3	22.3
     3960    	22.7	22.8	22.1	22.3
     4020    	22.7	23.1	22.1	22.3
     4080    	22.7	22.8	22.1	22.3
     4140    	22.7	22.8	22.1	22.6
     4200    	22.7	22.8	22.1	22.6
     4260    	22.7	23.1	21.8	22.3
     4320    	22.7	22.8	22.1	22.3
     4380    	22.7	22.8	22.1	22.3
     4440    	22.7	22.8	22.3	22.6
     4500    	22.4	22.8	22.1	22.3
     4560    	22.7	22.8	22.3	22.3
     4620    	22.7	22.8	22.3	22.3
     4680    	22.7	22.8	22.1	22.3
     4740    	22.7	22.8	22.1	22.3
     4800    	23.0	22.8	22.1	22.3
     4860    	22.7	22.8	22.3	22.3
     4920    	22.7	22.8	22.3	22.3
     4980    	22.7	23.1	22.1	22.6
     5040    	22.7	23.1	22.3	22.6
     5100    	22.7	22.5	22.3	22.3
     5160    	22.7	22.8	22.1	22.3
     5220    	23.0	22.5	22.1	22.3
     5280    	22.7	22.8	22.1	22.3
     5340    	22.7	22.8	22.3	22.3
     5400    	22.7	22.8	22.1	22.3
     5460    	22.7	22.8	22.3	22.6
     5520    	22.4	22.8	22.1	22.6
     5580    	22.7	22.8	22.1	22.3
     5640    	22.7	22.8	22.1	22.3
     5700    	22.7	22.8	22.3	22.3
