---------------------------------------------------
  Seconds  	 Bits to EIO (12) 	 CIO (13) 	 FIO (15)
---------------------------------------------------
 0.057000  	    ba	0	2  
 1.396000  	    10	0	0  
 43835.499000  	    ba	0	2  
 43836.750000  	    10	0	0  
 55091.077000  	    ba	0	2  
 55092.475000  	    10	0	0  
 299453.014000  	    8a	3	2  
 299454.281000  	    8a	2	2  
 299455.559000  	    0	0	0  
 305456.902000  	    7a	8	2  
 305458.144000  	    50	0	0  
 306460.511000  	    b9	0	2  
 306461.782000  	    10	0	0  
 315463.084000  	    7a	8	2  
 315464.326000  	    50	0	0  
 316466.648000  	    ba	0	2  
 316467.866000  	    10	0	0  
 316669.254000  	    7a	8	2  
 316670.546000  	    50	0	0  
 317673.065000  	    8a	3	2  
 317674.334000  	    8a	2	2  
 317675.596000  	    0	0	0  
 323676.912000  	    7a	8	2  
 323678.163000  	    50	0	0  
 324680.656000  	    b9	0	2  
 324681.875000  	    10	0	0  
 333683.218000  	    7a	8	2  
 333684.473000  	    50	0	0  
 334686.928000  	    ba	0	2  
 334688.192000  	    10	0	0  
 334889.563000  	    7a	8	2  
 334890.838000  	    50	0	0  
 335893.041000  	    8a	3	2  
 335894.351000  	    8a	2	2  
 335895.567000  	    0	0	0  
 341896.873000  	    7a	8	2  
 341898.113000  	    50	0	0  
 342900.493000  	    b9	0	2  
 342901.720000  	    10	0	0  
 351903.085000  	    7a	8	2  
 351904.368000  	    50	0	0  
 352906.649000  	    ba	0	2  
 352907.842000  	    10	0	0  
 353109.117000  	    7a	8	2  
 353110.401000  	    50	0	0  
 354112.935000  	    8a	3	2  
 354114.149000  	    8a	2	2  
 354115.410000  	    0	0	0  
 360116.749000  	    7a	8	2  
 360117.964000  	    50	0	0  
 361120.280000  	    b9	0	2  
 361121.580000  	    10	0	0  
 370123.000000  	    7a	8	2  
 370124.284000  	    50	0	0  
 371126.872000  	    ba	0	2  
 371128.113000  	    10	0	0  
 371329.493000  	    7a	8	2  
