---------------------------------------------------
  Seconds  	 Bits to EIO (12) 	 CIO (13) 	 FIO (15)
---------------------------------------------------
 0.051000  	    ba	0	2  
 1.334000  	    10	0	0  
 108908.655000  	    8a	3	2  
 108909.880000  	    8a	2	2  
 108911.042000  	    0	0	0  
 111912.351000  	    7a	8	2  
 111913.632000  	    50	0	0  
 112915.899000  	    b9	0	2  
 112917.071000  	    10	0	0  
 114918.392000  	    7a	8	2  
 114919.671000  	    50	0	0  
 115922.169000  	    ba	0	2  
 115923.355000  	    10	0	0  
 115974.707000  	    7a	8	2  
 115975.987000  	    50	0	0  
 116978.385000  	    8a	3	2  
 116979.628000  	    8a	2	2  
 116980.875000  	    0	0	0  
 119982.239000  	    7a	8	2  
 119983.502000  	    50	0	0  
 120984.806000  	    ba	0	2  
 120986.043000  	    10	0	0  
 131041.960000  	    ba	0	2  
 131043.201000  	    10	0	0  
