---------------------------------------------------
  Seconds  	 Bits to EIO (12) 	 CIO (13) 	 FIO (15)
---------------------------------------------------
 0.008000  	    b8	c	2  
 0.370000  	    10	0	0  
 5063.808000  	    88	f	2  
 5064.379000  	    88	e	2  
 5064.881000  	    0	0	0  
 8065.438000  	    78	c	2  
 8065.999000  	    50	0	0  
 9066.446000  	    ba	8	2  
 9066.977000  	    10	0	0  
 11067.424000  	    b9	4	2  
 11067.993000  	    0	0	0  
 11268.444000  	    78	c	2  
 11268.923000  	    50	0	0  
 12269.343000  	    b8	c	2  
 12269.953000  	    10	0	0  
 12320.485000  	    78	c	2  
 12321.033000  	    50	0	0  
 13321.545000  	    88	f	2  
 13322.110000  	    88	e	2  
 13322.643000  	    0	0	0  
 16323.187000  	    78	c	2  
 16323.743000  	    50	0	0  
 17324.240000  	    ba	8	2  
 17324.800000  	    10	0	0  
 19325.271000  	    b9	4	2  
 19325.751000  	    0	0	0  
 19526.186000  	    78	c	2  
 19526.666000  	    50	0	0  
 20527.122000  	    b8	c	2  
 20527.659000  	    10	0	0  
 20578.186000  	    78	c	2  
 20578.710000  	    50	0	0  
 21579.149000  	    88	f	2  
 21579.618000  	    88	e	2  
 21580.067000  	    0	0	0  
 24580.493000  	    78	c	2  
 24581.036000  	    50	0	0  
 25581.524000  	    ba	8	2  
 25582.087000  	    10	0	0  
 27582.566000  	    b9	4	2  
 27583.130000  	    0	0	0  
 27783.574000  	    78	c	2  
 27784.086000  	    50	0	0  
 28784.472000  	    b8	c	2  
 28784.922000  	    10	0	0  
 28835.396000  	    78	c	2  
 28835.903000  	    50	0	0  
 29836.336000  	    88	f	2  
 29836.863000  	    88	e	2  
 29837.374000  	    0	0	0  
 32837.853000  	    78	c	2  
 32838.378000  	    50	0	0  
 33838.827000  	    ba	8	2  
 33839.344000  	    10	0	0  
 35839.774000  	    b9	4	2  
 35840.337000  	    0	0	0  
 36040.824000  	    78	c	2  
 36041.361000  	    50	0	0  
 37041.866000  	    b8	c	2  
 37042.415000  	    10	0	0  
 37092.932000  	    78	c	2  
 37093.478000  	    50	0	0  
 38093.957000  	    88	f	2  
 38094.533000  	    88	e	2  
 38095.069000  	    0	0	0  
 41095.521000  	    78	c	2  
 41096.005000  	    50	0	0  
 42096.479000  	    ba	8	2  
 42097.044000  	    10	0	0  
 44097.462000  	    b9	4	2  
 44097.912000  	    0	0	0  
 44298.347000  	    78	c	2  
 44298.861000  	    50	0	0  
 45299.313000  	    b8	c	2  
 45299.845000  	    10	0	0  
 45350.338000  	    78	c	2  
 45350.857000  	    50	0	0  
 46351.351000  	    88	f	2  
 46351.973000  	    88	e	2  
 46352.510000  	    0	0	0  
 49352.983000  	    78	c	2  
 49353.536000  	    50	0	0  
 50353.999000  	    ba	8	2  
 50354.550000  	    10	0	0  
 52355.002000  	    b9	4	2  
 52355.539000  	    0	0	0  
 52555.993000  	    78	c	2  
 52556.475000  	    50	0	0  
 53556.933000  	    b8	c	2  
 53557.498000  	    10	0	0  
 53608.023000  	    78	c	2  
 53608.562000  	    50	0	0  
 54608.991000  	    88	f	2  
 54609.455000  	    88	e	2  
 54609.929000  	    0	0	0  
 57610.393000  	    78	c	2  
 57610.954000  	    50	0	0  
 58152.986000  	    b8	c	2  
 58153.408000  	    10	0	0  
