---------------------------------------------------
  Seconds  	 Bits to EIO (12) 	 CIO (13) 	 FIO (15)
---------------------------------------------------
 0.009000  	    9a	a	2  
 0.333000  	    10	0	0  
 14992.748000  	    9f	a	2  
 14993.172000  	    10	0	0  
 20351.830000  	    9f	a	2  
 20352.260000  	    10	0	0  
 31165.382000  	    4a	a	2  
 31165.743000  	    0	0	0  
 40109.634000  	    9a	a	2  
 40110.028000  	    10	0	0  
 46860.670000  	    ba	9	2  
 46861.101000  	    30	0	0  
 47860.677000  	    10	0	0  
 52324.106000  	    4f	a	2  
 52324.654000  	    4a	a	2  
 52325.133000  	    0	0	0  
 55325.584000  	    ba	9	2  
 55326.096000  	    30	0	0  
 56326.515000  	    99	a	2  
 56326.969000  	    10	0	0  
 58327.373000  	    9a	6	2  
 58328.106000  	    0	0	0  
 58528.777000  	    ba	9	2  
 58529.285000  	    30	0	0  
 59529.710000  	    9a	a	2  
 59530.247000  	    10	0	0  
 59580.739000  	    ba	9	2  
 59581.319000  	    30	0	0  
 60581.825000  	    4f	a	2  
 60582.310000  	    4a	a	2  
 60582.756000  	    0	0	0  
 63583.240000  	    ba	9	2  
 63583.779000  	    30	0	0  
 64584.229000  	    99	a	2  
 64584.712000  	    10	0	0  
 66585.141000  	    9a	6	2  
 66585.668000  	    0	0	0  
 66786.119000  	    ba	9	2  
 66786.629000  	    30	0	0  
 67787.099000  	    9a	a	2  
 67787.636000  	    10	0	0  
 67838.216000  	    ba	9	2  
 67838.754000  	    30	0	0  
 68839.193000  	    4f	a	2  
 68839.688000  	    4a	a	2  
 68840.173000  	    0	0	0  
 71840.655000  	    ba	9	2  
 71841.173000  	    30	0	0  
 72841.631000  	    99	a	2  
 72842.193000  	    10	0	0  
 74842.609000  	    9a	6	2  
 74843.109000  	    0	0	0  
 75043.518000  	    ba	9	2  
 75044.009000  	    30	0	0  
 76041.556000  	    9a	a	2  
 76042.077000  	    10	0	0  
 76044.448000  	    ba	9	2  
 76045.056000  	    30	0	0  
 76045.632000  	    9a	a	2  
 76046.117000  	    10	0	0  
