---------------------------------------------------
  Seconds  	 Bits to EIO (12) 	 CIO (13) 	 FIO (15)
---------------------------------------------------
 0.009000  	    ba	8	2  
 0.352000  	    10	0	0  
 5301.012000  	    8a	b	2  
 5301.622000  	    8a	a	2  
 5302.228000  	    0	0	0  
 8302.701000  	    7a	8	2  
 8303.151000  	    50	0	0  
 9303.543000  	    b8	c	2  
 9304.061000  	    10	0	0  
 11304.492000  	    bb	0	2  
 11305.003000  	    0	0	0  
 11505.413000  	    7a	8	2  
 11505.910000  	    50	0	0  
 12506.367000  	    ba	8	2  
 12506.857000  	    10	0	0  
 12557.412000  	    7a	8	2  
 12558.063000  	    50	0	0  
 13558.634000  	    8a	b	2  
 13559.141000  	    8a	a	2  
 13559.610000  	    0	0	0  
 16560.098000  	    7a	8	2  
 16560.622000  	    50	0	0  
 17561.028000  	    b8	c	2  
 17561.509000  	    10	0	0  
 19561.927000  	    bb	0	2  
 19562.557000  	    0	0	0  
 19763.050000  	    7a	8	2  
 19763.632000  	    50	0	0  
 20764.115000  	    ba	8	2  
 20764.699000  	    10	0	0  
 20815.209000  	    7a	8	2  
 20815.741000  	    50	0	0  
 21816.218000  	    8a	b	2  
 21816.832000  	    8a	a	2  
 21817.357000  	    0	0	0  
 24817.858000  	    7a	8	2  
 24818.475000  	    50	0	0  
 25818.964000  	    b8	c	2  
 25819.487000  	    10	0	0  
 27819.906000  	    bb	0	2  
 27820.390000  	    0	0	0  
 28020.792000  	    7a	8	2  
 28021.287000  	    50	0	0  
 29021.689000  	    ba	8	2  
 29022.191000  	    10	0	0  
 29072.667000  	    7a	8	2  
 29073.208000  	    50	0	0  
 30073.729000  	    8a	b	2  
 30074.316000  	    8a	a	2  
 30074.808000  	    0	0	0  
 33075.287000  	    7a	8	2  
 33075.799000  	    50	0	0  
 34076.238000  	    b8	c	2  
 34076.699000  	    10	0	0  
 36077.098000  	    bb	0	2  
 36077.629000  	    0	0	0  
 36278.052000  	    7a	8	2  
 36278.523000  	    50	0	0  
 37278.946000  	    ba	8	2  
 37279.473000  	    10	0	0  
 37329.962000  	    7a	8	2  
 37330.512000  	    50	0	0  
 38330.990000  	    8a	b	2  
 38331.498000  	    8a	a	2  
 38331.980000  	    0	0	0  
 41332.411000  	    7a	8	2  
 41332.933000  	    50	0	0  
 42333.392000  	    b8	c	2  
 42333.945000  	    10	0	0  
 44334.436000  	    bb	0	2  
 44334.942000  	    0	0	0  
 44535.432000  	    7a	8	2  
 44535.988000  	    50	0	0  
 45536.441000  	    ba	8	2  
 45536.915000  	    10	0	0  
 45587.377000  	    7a	8	2  
 45587.948000  	    50	0	0  
 46588.461000  	    8a	b	2  
 46589.033000  	    8a	a	2  
 46589.543000  	    0	0	0  
 49590.027000  	    7a	8	2  
 49590.575000  	    50	0	0  
 50591.060000  	    b8	c	2  
 50591.627000  	    10	0	0  
 52592.077000  	    bb	0	2  
 52592.610000  	    0	0	0  
 52793.051000  	    7a	8	2  
 52793.562000  	    50	0	0  
 53794.058000  	    ba	8	2  
 53794.624000  	    10	0	0  
 53845.123000  	    7a	8	2  
 53845.657000  	    50	0	0  
 54846.144000  	    8a	b	2  
 54846.659000  	    8a	a	2  
 54847.142000  	    0	0	0  
 57847.588000  	    7a	8	2  
 57848.112000  	    50	0	0  
 58848.516000  	    b8	c	2  
 58849.005000  	    10	0	0  
 60102.353000  	    ba	8	2  
 60102.838000  	    10	0	0  
