---------------------------------------------------
  Seconds  	 Bits to EIO (12) 	 CIO (13) 	 FIO (15)
---------------------------------------------------
 0.012000  	    9a	a	2  
 0.379000  	    10	0	0  
 14886.361000  	    8f	9	2  
 14886.909000  	    8a	9	2  
 14887.452000  	    0	0	0  
 17887.983000  	    7a	a	2  
 17888.544000  	    50	0	0  
 18888.974000  	    99	a	2  
 18889.516000  	    10	0	0  
 20889.987000  	    9a	6	2  
 20890.496000  	    0	0	0  
 21090.966000  	    7a	a	2  
 21091.522000  	    50	0	0  
 22091.964000  	    9a	a	2  
 22092.465000  	    10	0	0  
 22142.972000  	    7a	a	2  
 22143.581000  	    50	0	0  
 23144.093000  	    8f	9	2  
 23144.613000  	    8a	9	2  
 23145.118000  	    0	0	0  
 26145.564000  	    7a	a	2  
 26146.093000  	    50	0	0  
 27146.573000  	    99	a	2  
 27147.089000  	    10	0	0  
 28924.416000  	    9a	a	2  
 28924.890000  	    10	0	0  
