---------------------------------------------------
  Seconds  	 Bits to EIO (12) 	 CIO (13) 	 FIO (15)
---------------------------------------------------
 0.035000  	    ba	0	2  
 1.319000  	    10	0	0  
 28440.101000  	    b6	1	2  
 28441.392000  	    86	2	2  
 28442.689000  	    0	0	0  
 29444.031000  	    76	8	2  
 29445.298000  	    50	0	0  
 30447.589000  	    b5	0	2  
 30448.892000  	    10	0	0  
 32450.285000  	    76	8	2  
 32451.453000  	    50	0	0  
 33453.977000  	    b6	0	2  
 33455.245000  	    10	0	0  
 33656.671000  	    76	8	2  
 33657.871000  	    50	0	0  
 34659.969000  	    b6	1	2  
 34661.143000  	    86	2	2  
 34662.451000  	    0	0	0  
 35663.843000  	    76	8	2  
 35665.167000  	    50	0	0  
 36667.595000  	    b5	0	2  
 36668.808000  	    10	0	0  
 38670.046000  	    76	8	2  
 38671.256000  	    50	0	0  
 39673.618000  	    b6	0	2  
 39674.872000  	    10	0	0  
 39876.217000  	    76	8	2  
 39877.486000  	    50	0	0  
 40879.649000  	    b6	1	2  
 40880.822000  	    86	2	2  
 40882.007000  	    0	0	0  
 41883.252000  	    76	8	2  
 41884.387000  	    50	0	0  
 42886.064000  	    b5	0	2  
 42887.244000  	    10	0	0  
 44888.479000  	    76	8	2  
 44889.669000  	    50	0	0  
 45892.165000  	    b6	0	2  
 45893.390000  	    10	0	0  
 46094.679000  	    76	8	2  
 46095.958000  	    50	0	0  
 46303.391000  	    ba	0	2  
 46304.578000  	    10	0	0  
