---------------------------------------------------
  Seconds  	 Bits to EIO (12) 	 CIO (13) 	 FIO (15)
---------------------------------------------------
 0.008000  	    b8	c	2  
 0.346000  	    10	0	0  
 10168.222000  	    88	f	2  
 10168.789000  	    88	e	2  
 10169.335000  	    0	0	0  
 13169.760000  	    78	c	2  
 13170.229000  	    50	0	0  
 14170.672000  	    ba	8	2  
 14171.160000  	    10	0	0  
 16171.592000  	    b9	4	2  
 16172.083000  	    0	0	0  
 16372.531000  	    78	c	2  
 16373.068000  	    50	0	0  
 17373.550000  	    b8	c	2  
 17374.071000  	    10	0	0  
 17424.566000  	    78	c	2  
 17425.161000  	    50	0	0  
 17887.607000  	    b8	c	2  
 17888.030000  	    10	0	0  
