---------------------------------------------------
  Seconds  	 Bits to EIO (12) 	 CIO (13) 	 FIO (15)
---------------------------------------------------
 0.009000  	    ba	8	2  
 0.346000  	    10	0	0  
 5821.455000  	    8a	b	2  
 5821.991000  	    8a	a	2  
 5822.476000  	    0	0	0  
 8822.895000  	    7a	8	2  
 8823.423000  	    50	0	0  
 9823.898000  	    b9	8	2  
 9824.449000  	    10	0	0  
 11824.906000  	    ba	4	2  
 11825.448000  	    0	0	0  
 12025.910000  	    7a	8	2  
 12026.438000  	    50	0	0  
 13026.890000  	    ba	8	2  
 13027.476000  	    10	0	0  
 13077.984000  	    7a	8	2  
 13078.501000  	    50	0	0  
 14078.972000  	    8a	b	2  
 14079.560000  	    8a	a	2  
 14080.040000  	    0	0	0  
 17080.480000  	    7a	8	2  
 17080.987000  	    50	0	0  
 18081.436000  	    b9	8	2  
 18081.987000  	    10	0	0  
 20082.458000  	    ba	4	2  
 20083.073000  	    0	0	0  
 20283.553000  	    7a	8	2  
 20284.067000  	    50	0	0  
 21284.491000  	    ba	8	2  
 21285.003000  	    10	0	0  
 21335.477000  	    7a	8	2  
 21336.034000  	    50	0	0  
 22336.516000  	    8a	b	2  
 22337.099000  	    8a	a	2  
 22337.644000  	    0	0	0  
 25338.143000  	    7a	8	2  
 25338.730000  	    50	0	0  
 26339.343000  	    b9	8	2  
 26339.869000  	    10	0	0  
 28340.413000  	    ba	4	2  
 28341.014000  	    0	0	0  
 28541.509000  	    7a	8	2  
 28542.047000  	    50	0	0  
 29542.508000  	    ba	8	2  
 29543.065000  	    10	0	0  
 29593.605000  	    7a	8	2  
 29594.172000  	    50	0	0  
 30594.667000  	    8a	b	2  
 30595.248000  	    8a	a	2  
 30595.675000  	    0	0	0  
 33596.110000  	    7a	8	2  
 33596.708000  	    50	0	0  
 34597.183000  	    b9	8	2  
 34597.707000  	    10	0	0  
 36598.147000  	    ba	4	2  
 36598.667000  	    0	0	0  
 36799.129000  	    7a	8	2  
 36799.725000  	    50	0	0  
 37800.167000  	    ba	8	2  
 37800.635000  	    10	0	0  
 37851.103000  	    7a	8	2  
 37851.646000  	    50	0	0  
 38852.133000  	    8a	b	2  
 38852.708000  	    8a	a	2  
 38853.232000  	    0	0	0  
 41853.690000  	    7a	8	2  
 41854.200000  	    50	0	0  
 42854.626000  	    b9	8	2  
 42855.192000  	    10	0	0  
 44855.687000  	    ba	4	2  
 44856.268000  	    0	0	0  
 45056.750000  	    7a	8	2  
 45057.357000  	    50	0	0  
 46057.810000  	    ba	8	2  
 46058.281000  	    10	0	0  
 46108.749000  	    7a	8	2  
 46109.303000  	    50	0	0  
 47109.787000  	    8a	b	2  
 47110.433000  	    8a	a	2  
 47110.863000  	    0	0	0  
 50111.249000  	    7a	8	2  
 50111.802000  	    50	0	0  
 51112.267000  	    b9	8	2  
 51112.816000  	    10	0	0  
 53113.250000  	    ba	4	2  
 53113.761000  	    0	0	0  
 53314.137000  	    7a	8	2  
 53314.574000  	    50	0	0  
 54111.146000  	    ba	8	2  
 54111.645000  	    10	0	0  
 54162.125000  	    7a	8	2  
 54162.683000  	    50	0	0  
 54163.160000  	    ba	8	2  
 54163.556000  	    10	0	0  
