---------------------------------------------------
  Seconds  	 Bits to EIO (12) 	 CIO (13) 	 FIO (15)
---------------------------------------------------
 0.008000  	    ba	0	2  
 1.183000  	    10	0	0  
 35360.452000  	    8a	3	2  
 35361.789000  	    8a	2	2  
 35363.061000  	    0	0	0  
 38364.384000  	    7a	8	2  
 38365.603000  	    50	0	0  
 39367.910000  	    b9	0	2  
 39369.164000  	    10	0	0  
 41370.474000  	    7a	8	2  
 41371.675000  	    50	0	0  
 42373.925000  	    ba	0	2  
 42375.188000  	    10	0	0  
 42426.612000  	    7a	8	2  
 42427.862000  	    50	0	0  
 43430.495000  	    8a	3	2  
 43431.721000  	    8a	2	2  
 43432.981000  	    0	0	0  
 46434.281000  	    7a	8	2  
 46435.493000  	    50	0	0  
 47437.696000  	    b9	0	2  
 47438.891000  	    10	0	0  
 49440.161000  	    7a	8	2  
 49441.411000  	    50	0	0  
 50443.606000  	    ba	0	2  
 50444.786000  	    10	0	0  
 50496.116000  	    7a	8	2  
 50497.350000  	    50	0	0  
 51498.961000  	    8a	3	2  
 51500.108000  	    8a	2	2  
 51501.233000  	    0	0	0  
 54502.438000  	    7a	8	2  
 54503.660000  	    50	0	0  
 56505.824000  	    b9	0	2  
 56507.014000  	    10	0	0  
 58508.274000  	    7a	8	2  
 58509.520000  	    50	0	0  
 59512.006000  	    ba	0	2  
 59513.248000  	    10	0	0  
 59564.606000  	    7a	8	2  
 59565.874000  	    50	0	0  
 60568.256000  	    8a	3	2  
 60569.485000  	    8a	2	2  
 60570.733000  	    0	0	0  
 63572.071000  	    7a	8	2  
 63573.357000  	    50	0	0  
 64575.597000  	    b9	0	2  
 64576.836000  	    10	0	0  
 66578.141000  	    7a	8	2  
 66579.338000  	    50	0	0  
 67581.965000  	    ba	0	2  
 67583.220000  	    10	0	0  
 67634.577000  	    7a	8	2  
 67635.831000  	    50	0	0  
 68638.350000  	    8a	3	2  
 68639.603000  	    8a	2	2  
 68640.857000  	    0	0	0  
 71642.149000  	    7a	8	2  
 71643.376000  	    50	0	0  
 72645.775000  	    b9	0	2  
 72647.033000  	    10	0	0  
 74648.426000  	    7a	8	2  
 74649.710000  	    50	0	0  
 75651.952000  	    ba	0	2  
 75653.196000  	    10	0	0  
 75704.571000  	    7a	8	2  
 75705.839000  	    50	0	0  
 76708.103000  	    8a	3	2  
 76709.331000  	    8a	2	2  
 76710.584000  	    0	0	0  
 79711.893000  	    7a	8	2  
 79713.128000  	    50	0	0  
 80715.439000  	    b9	0	2  
 80716.661000  	    10	0	0  
 82717.959000  	    7a	8	2  
 82719.178000  	    50	0	0  
 83721.503000  	    ba	0	2  
 83722.722000  	    10	0	0  
 83774.073000  	    7a	8	2  
 83775.305000  	    50	0	0  
 84777.771000  	    8a	3	2  
 84779.035000  	    8a	2	2  
 84780.285000  	    0	0	0  
 87781.625000  	    7a	8	2  
 87782.900000  	    50	0	0  
 88785.396000  	    b9	0	2  
 88786.624000  	    10	0	0  
 90787.952000  	    7a	8	2  
 90789.239000  	    50	0	0  
 91791.844000  	    ba	0	2  
 91793.097000  	    10	0	0  
 91844.462000  	    7a	8	2  
 91845.710000  	    50	0	0  
 92847.974000  	    8a	3	2  
 92849.248000  	    8a	2	2  
 92850.523000  	    0	0	0  
 95851.834000  	    7a	8	2  
 95853.085000  	    50	0	0  
 96855.513000  	    b9	0	2  
 96856.769000  	    10	0	0  
 98858.141000  	    7a	8	2  
 98859.416000  	    50	0	0  
 99861.708000  	    ba	0	2  
 99862.972000  	    10	0	0  
 99914.334000  	    7a	8	2  
 99915.612000  	    50	0	0  
 100918.003000  	    8a	3	2  
 100919.236000  	    8a	2	2  
 100920.491000  	    0	0	0  
 103921.790000  	    7a	8	2  
 103923.041000  	    50	0	0  
 104925.586000  	    b9	0	2  
 104926.817000  	    10	0	0  
 106928.107000  	    7a	8	2  
 106929.327000  	    50	0	0  
 107931.650000  	    ba	0	2  
 107932.849000  	    10	0	0  
 107984.191000  	    7a	8	2  
 107985.433000  	    50	0	0  
 108987.700000  	    b6	1	2  
 108988.894000  	    86	2	2  
 108990.141000  	    0	0	0  
 111991.528000  	    76	8	2  
 111992.789000  	    50	0	0  
 112995.287000  	    b5	0	2  
 112996.518000  	    10	0	0  
 114997.832000  	    76	8	2  
 114999.065000  	    50	0	0  
 116001.421000  	    b6	0	2  
 116002.647000  	    10	0	0  
 116053.978000  	    76	8	2  
 116055.229000  	    50	0	0  
 117057.525000  	    8a	3	2  
 117058.767000  	    8a	2	2  
 117060.035000  	    0	0	0  
 120061.380000  	    7a	8	2  
 120062.677000  	    50	0	0  
 121064.933000  	    b9	0	2  
 121066.132000  	    10	0	0  
 123067.445000  	    7a	8	2  
 123068.726000  	    50	0	0  
 124071.227000  	    ba	0	2  
 124072.496000  	    10	0	0  
 124123.852000  	    7a	8	2  
 124125.104000  	    50	0	0  
 125127.361000  	    8a	3	2  
 125128.585000  	    8a	2	2  
 125129.842000  	    0	0	0  
 128131.147000  	    7a	8	2  
 128132.424000  	    50	0	0  
 129134.938000  	    b9	0	2  
 129136.171000  	    10	0	0  
 131137.494000  	    7a	8	2  
 131138.751000  	    50	0	0  
 132141.412000  	    ba	0	2  
 132142.593000  	    10	0	0  
 132193.890000  	    7a	8	2  
 132195.141000  	    50	0	0  
 133197.476000  	    8a	3	2  
 133198.735000  	    8a	2	2  
 133199.986000  	    0	0	0  
 136201.282000  	    7a	8	2  
 136202.578000  	    50	0	0  
 137204.997000  	    b9	0	2  
 137206.215000  	    10	0	0  
 139207.525000  	    7a	8	2  
 139208.780000  	    50	0	0  
 140211.058000  	    ba	0	2  
 140212.380000  	    10	0	0  
 140263.791000  	    7a	8	2  
 140265.049000  	    50	0	0  
 141267.395000  	    8a	3	2  
 141268.668000  	    8a	2	2  
 141269.885000  	    0	0	0  
 144271.152000  	    7a	8	2  
 144272.393000  	    50	0	0  
 145274.628000  	    b9	0	2  
 145275.813000  	    10	0	0  
 147277.140000  	    7a	8	2  
 147278.349000  	    50	0	0  
 148280.554000  	    ba	0	2  
