---------------------------------------------------
  Seconds  	 Bits to EIO (12) 	 CIO (13) 	 FIO (15)
---------------------------------------------------
 0.022000  	    ba	8	2  
 0.421000  	    10	0	0  
 4361.611000  	    8a	b	2  
 4362.170000  	    8a	a	2  
 4362.660000  	    0	0	0  
 7363.233000  	    7a	8	2  
 7363.779000  	    50	0	0  
 8364.214000  	    b9	8	2  
 8364.730000  	    10	0	0  
 10365.218000  	    ba	4	2  
 10365.755000  	    0	0	0  
 10566.257000  	    7a	8	2  
 10566.792000  	    50	0	0  
 11567.245000  	    ba	8	2  
 11567.760000  	    10	0	0  
 11618.235000  	    7a	8	2  
 11618.758000  	    50	0	0  
 12619.301000  	    8a	b	2  
 12619.918000  	    8a	a	2  
 12620.430000  	    0	0	0  
 15620.909000  	    7a	8	2  
 15621.472000  	    50	0	0  
 16621.952000  	    b9	8	2  
 16622.488000  	    10	0	0  
 18622.911000  	    ba	4	2  
 18623.412000  	    0	0	0  
 18823.846000  	    7a	8	2  
 18824.346000  	    50	0	0  
 19824.808000  	    ba	8	2  
 19825.346000  	    10	0	0  
 19875.855000  	    7a	8	2  
 19876.408000  	    50	0	0  
 20876.850000  	    8a	b	2  
 20877.310000  	    8a	a	2  
 20877.784000  	    0	0	0  
 23878.268000  	    7a	8	2  
 23878.758000  	    50	0	0  
 24879.193000  	    b9	8	2  
 24879.705000  	    10	0	0  
 26880.125000  	    ba	4	2  
 26880.642000  	    0	0	0  
 27081.089000  	    7a	8	2  
 27081.580000  	    50	0	0  
 28081.990000  	    ba	8	2  
 28082.453000  	    10	0	0  
 28132.963000  	    7a	8	2  
 28133.577000  	    50	0	0  
 29134.096000  	    8a	b	2  
 29134.652000  	    8a	a	2  
 29135.151000  	    0	0	0  
 32135.635000  	    7a	8	2  
 32136.191000  	    50	0	0  
 33136.634000  	    b9	8	2  
 33137.140000  	    10	0	0  
 35137.580000  	    ba	4	2  
 35138.117000  	    0	0	0  
 35338.581000  	    7a	8	2  
 35339.080000  	    50	0	0  
 36339.519000  	    ba	8	2  
 36340.037000  	    10	0	0  
 36390.533000  	    7a	8	2  
 36391.103000  	    50	0	0  
 37391.614000  	    8a	b	2  
 37392.203000  	    8a	a	2  
 37392.970000  	    0	0	0  
