---------------------------------------------------
  Seconds  	 Bits to EIO (12) 	 CIO (13) 	 FIO (15)
---------------------------------------------------
 0.008000  	    ba	0	2  
 0.332000  	    10	0	0  
 21487.188000  	    8a	2	2  
 21487.592000  	    0	0	0  
 25966.337000  	    ba	0	2  
 25966.768000  	    10	0	0  
 30804.512000  	    8a	3	2  
 30804.945000  	    8a	2	2  
 30805.382000  	    0	0	0  
 33805.857000  	    7a	8	2  
 33806.369000  	    50	0	0  
 34807.453000  	    b9	0	2  
 34807.927000  	    10	0	0  
 36808.345000  	    ba	4	2  
 36808.875000  	    0	0	0  
 37009.372000  	    7a	8	2  
 37009.901000  	    50	0	0  
 38010.363000  	    ba	0	2  
 38010.923000  	    10	0	0  
 38061.452000  	    7a	8	2  
 38062.000000  	    50	0	0  
 39062.479000  	    8a	3	2  
 39063.031000  	    8a	2	2  
 39063.544000  	    0	0	0  
 42063.977000  	    7a	8	2  
 42064.517000  	    50	0	0  
 43064.961000  	    b9	0	2  
 43065.501000  	    10	0	0  
 43148.067000  	    ba	0	2  
 43148.502000  	    10	0	0  
 385951.770000  	    7a	8	2  
 385952.182000  	    50	0	0  
 386951.735000  	    10	0	0  
 404716.667000  	    ba	0	2  
 404717.019000  	    10	0	0  
 503856.753000  	    7a	8	2  
 503857.188000  	    50	0	0  
 504856.705000  	    10	0	0  
 506911.305000  	    ba	0	2  
 506911.673000  	    10	0	0  
